SequenceName	ClusterNumber
11-00417	1
11-00410	1
11-00415	1
11-00250	1
11-00251	1
11-00211	1
11-00201	1
11-00106	1
10-00500	1
09-00154	-1
15-01352	2
15-01353	2
16-00643	2
16-00616	2
14-00051	2
16-00012	2
09-00253	2
11-00282	2
19-01352	-1
05-01027	-1
01-02454	3
01-02451	3
01-02192	3
01-01964	3
01-00400	4
01-00653	4
01-00394	4
01-00215	4
00-05622	4
01-00111	4
01-00025	4
03-03738	-1
00-05243	5
00-05261	5
00-05235	5
00-05203	5
00-04956	5
00-02769	5
01-01227	5
00-04913	5
00-04957	5
03-03660	6
03-03644	6
03-03643	6
03-03627	6
03-00380	6
03-00255	6
03-00257	6
03-00251	6
03-00243	6
03-00242	6
03-00241	6
03-00234	6
03-00212	6
03-00203	6
03-00096	6
03-00186	6
03-00187	6
03-00178	6
03-00182	6
03-00183	6
03-00181	6
03-00177	6
03-00179	6
03-00176	6
03-00188	6
03-00173	6
02-02218	6
02-02212	6
02-02200	6
02-02019	6
00-05239	7
00-05252	7
00-05238	7
00-05226	7
00-04961	7
00-04959	7
00-04946	7
00-04938	7
00-04933	7
00-04928	7
00-04932	7
00-04929	7
00-04914	7
00-04919	7
00-04917	7
00-02824	7
00-02816	7
00-02804	7
00-02792	7
00-02773	7
00-02757	7
00-02699	7
00-00061	7
00-00043	7
00-05213	7
00-05039	7
00-05198	7
00-04948	7
00-04936	7
00-00049	7
00-02826	7
05-00239	-1
01-00321	-1
01-02449	-1
13-00779	8
13-00780	8
13-00778	8
14-00279	8
02-00711	-1
03-03674	9
03-03616	9
03-00351	9
03-00265	9
03-00266	9
02-01044	9
02-00944	9
02-00940	9
02-00934	9
02-00872	9
02-00865	9
02-00866	9
02-00860	9
02-00861	9
02-00857	9
02-00854	9
02-00855	9
02-00851	9
02-00858	9
02-00853	9
02-00852	9
02-00847	9
02-00843	9
02-00840	9
02-00841	9
02-00838	9
02-00845	9
02-00839	9
02-00846	9
02-00835	9
02-00836	9
02-00828	9
02-00837	9
02-00859	9
02-00829	9
02-00824	9
02-00820	9
02-00819	9
02-00825	9
02-00826	9
02-00821	9
02-00816	9
02-00813	9
02-00804	9
02-00812	9
02-00810	9
02-00809	9
02-00805	9
02-00807	9
02-00808	9
02-00799	9
02-00798	9
02-00797	9
02-00796	9
02-00800	9
02-00790	9
02-00791	9
02-00788	9
02-00755	9
02-00786	9
02-00752	9
02-00751	9
02-00735	9
02-00737	9
02-00730	9
02-00731	9
02-00733	9
02-00713	9
02-00729	9
02-00710	9
02-00716	9
02-00709	9
02-00715	9
02-00717	9
02-00708	9
02-00705	9
02-00706	9
02-00700	9
02-00703	9
02-00707	9
02-00683	9
02-00685	9
02-00684	9
02-00697	9
02-00682	9
02-00676	9
02-00679	9
02-00668	9
02-00660	9
02-00667	9
02-00672	9
02-00663	9
02-00659	9
02-00639	9
02-00641	9
02-00636	9
02-00637	9
02-00638	9
02-00658	9
02-00631	9
02-00633	9
02-00595	9
02-00596	9
02-00588	9
02-00590	9
02-00591	9
02-00582	9
02-00581	9
02-00586	9
02-00538	9
02-00542	9
02-00576	9
02-00531	9
02-00532	9
02-00529	9
02-00500	9
02-00533	9
02-00496	9
02-00497	9
02-00498	9
02-00486	9
02-00490	9
02-00445	9
02-00442	9
02-00492	9
02-00484	9
02-00449	9
02-00447	9
02-00446	9
02-00436	9
02-00435	9
02-00433	9
02-00411	9
02-00402	9
02-00365	9
02-00403	9
02-00356	9
02-00359	9
02-00357	9
02-00346	9
02-00348	9
02-00300	9
02-00301	9
02-00299	9
02-00296	9
02-00292	9
02-00293	9
02-00287	9
02-00290	9
02-00248	9
02-00246	9
02-00243	9
02-00245	9
02-00244	9
02-00192	9
02-00191	9
02-00184	9
02-00182	9
02-00175	9
02-00174	9
02-00002	9
01-02751	9
01-02733	9
01-02731	9
01-02725	9
01-02726	9
01-02690	9
01-02639	9
01-02636	9
01-02634	9
01-02627	9
01-02566	9
01-02606	9
01-02564	9
01-02563	9
01-02562	9
01-02524	9
01-02529	9
01-02518	9
01-02519	9
01-02693	9
01-02469	9
01-02191	9
01-02190	9
01-01965	9
01-01961	9
01-01921	9
01-01918	9
01-01917	9
01-01849	9
01-01815	9
01-01638	9
01-01641	9
01-01548	9
01-01546	9
01-01506	9
01-01256	9
01-01171	9
