SequenceName	ClusterNumber
06-00625	1
06-00631	1
06-00616	1
06-00598	1
06-00597	1
06-00601	1
06-00623	1
06-00575	1
06-00567	1
06-00549	1
06-00540	1
06-00514	1
06-00517	1
06-00515	1
06-00498	1
06-00507	1
06-00513	1
06-00499	1
06-00503	1
06-00502	1
06-00472	1
06-00481	1
06-00486	1
06-00484	1
06-00485	1
06-00512	1
06-00471	1
06-00470	1
06-00457	1
06-00459	1
06-00446	1
06-00438	1
06-00435	1
06-00440	1
06-00418	1
06-00443	1
06-00414	1
06-00402	1
06-00405	1
06-00390	1
06-00395	1
06-00389	1
06-00394	1
06-00393	1
06-00388	1
06-00383	1
06-00381	1
06-00387	1
06-00373	1
06-00372	1
06-00365	1
06-00364	1
06-00363	1
06-00356	1
06-00352	1
06-00296	1
06-00346	1
06-00360	1
06-00345	1
06-00347	1
06-00359	1
06-00358	1
06-00300	1
06-00344	1
06-00350	1
06-00290	1
06-00292	1
06-00349	1
06-00294	1
06-00291	1
06-00298	1
06-00297	1
06-00285	1
06-00281	1
06-00301	1
06-00283	1
06-00277	1
06-00278	1
06-00261	1
06-00280	1
06-00269	1
06-00253	1
06-00266	1
06-00267	1
06-00256	1
06-00257	1
06-00247	1
06-00246	1
06-00248	1
06-00264	1
06-00265	1
06-00262	1
06-00242	1
06-00250	1
06-00239	1
06-00252	1
06-00251	1
06-00234	1
06-00238	1
06-00241	1
06-00240	1
06-00229	1
06-00231	1
06-00225	1
06-00222	1
06-00210	1
06-00227	1
06-00223	1
06-00206	1
06-00201	1
06-00202	1
06-00200	1
06-00162	1
06-00164	1
06-00163	1
06-00160	1
06-00173	1
06-00185	1
06-00149	1
06-00148	1
06-00146	1
06-00151	1
06-00152	1
06-00147	1
06-00154	1
06-00142	1
06-00145	1
06-00143	1
06-00139	1
06-00141	1
06-00127	1
06-00130	1
06-00051	1
06-00254	1
06-00263	1
06-00287	1
06-00299	1
06-00205	1
06-00199	1
06-00230	1
06-00351	1
06-00275	1
06-00379	1
06-00219	1
06-00226	1
06-00224	1
06-00511	1
06-00460	1
06-00197	1
06-00361	1
06-00568	1
06-00153	1
06-00541	1
06-00456	1
05-00473	1
05-00469	1
05-00467	1
05-00464	1
05-00465	1
05-00374	1
05-00355	1
05-00353	1
05-00322	1
05-00321	1
05-00288	1
05-00287	1
05-00266	1
05-00265	1
05-00255	1
04-00132	1
06-00377	1
06-00376	1
01-01771	1
01-02449	1
01-00321	1
05-00239	1
00-05243	1
00-05261	1
00-05235	1
00-05203	1
00-04956	1
00-02769	1
01-01227	1
00-04913	1
00-04957	1
03-03738	1
01-00400	1
01-00653	1
01-00394	1
01-00215	1
00-05622	1
01-00111	1
01-00025	1
01-02454	1
01-02451	1
01-02192	1
01-01964	1
11-00417	2
11-00410	2
11-00415	2
11-00250	2
11-00251	2
11-00211	2
11-00201	2
11-00106	2
10-00500	2
15-01352	3
15-01353	3
16-00643	3
16-00616	3
14-00051	3
16-00012	3
09-00253	3
11-00282	3
09-00154	3
19-01352	-1
00-05239	4
00-05252	4
00-05238	4
00-05226	4
00-04961	4
00-04959	4
00-04946	4
00-04938	4
00-04933	4
00-04928	4
00-04932	4
00-04929	4
00-04914	4
00-04919	4
00-04917	4
00-02824	4
00-02816	4
00-02804	4
00-02792	4
00-02773	4
00-02757	4
00-02699	4
00-00061	4
00-00043	4
00-05213	4
00-05039	4
00-05198	4
00-04948	4
00-04936	4
00-00049	4
00-02826	4
03-03660	4
03-03644	4
03-03643	4
03-03627	4
03-00380	4
03-00255	4
03-00257	4
03-00251	4
03-00243	4
03-00242	4
03-00241	4
03-00234	4
03-00212	4
03-00203	4
03-00096	4
03-00186	4
03-00187	4
03-00178	4
03-00182	4
03-00183	4
03-00181	4
03-00177	4
03-00179	4
03-00176	4
03-00188	4
03-00173	4
02-02218	4
02-02212	4
02-02200	4
02-02019	4
05-01027	-1
20-00034	5
20-00033	5
20-00121	5
20-00079	5
20-00032	5
19-00986	5
19-00967	5
19-00846	5
19-00834	5
19-00833	5
19-00819	5
19-00306	5
19-00150	5
19-00312	5
19-00106	5
18-00899	5
18-00395	5
18-00378	5
18-00372	5
18-00373	5
18-00312	5
18-00287	5
18-00183	5
18-00168	5
18-00124	5
18-00117	5
18-00118	5
18-00119	5
18-00097	5
