Paramters,Infection Rate (β),Incubation Rate (σ),Recovery Rate (γ),Sampling rate,S,E,I,R,Sample,logEvery
SEIR_p_d7_r10,1.37,0.083,0.14,0.0124,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.0124,100000,1,0,0,0,7
SEIR_p_d14_r10,0.698,0.083,0.0714,0.0124,100000,1,0,0,0,7
SEIR_p_d14_r15,1.071,0.083,0.0714,0.0124,100000,1,0,0,0,7
SEIR_p_d21_r10,0.465,0.083,0.047,0.0124,100000,1,0,0,0,7
SEIR_p_d21_r15,0.705,0.083,0.047,0.0124,100000,1,0,0,0,7
SEIR_p_d7_r5,0.7,0.083,0.14,0.0124,100000,1,0,0,0,7
SEIR_p_d14_r5,0.375,0.083,0.14,0.0124,100000,1,0,0,0,7
SEIR_p_d21_r5,0.235,0.083,0.0714,0.0124,100000,1,0,0,0,7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
