;;;;;;;;;;;
Trial number;Paramters;Infection Rate (β);Incubation Rate (σ);Recovery Rate (γ);Sampling rate;S;E;I;R;Sample;logEvery
1;SEIR_pruning;8.7495;0.5833 ;0.333 ;0.47;792;1;0;0;0;10000
2;SEIR_pruning;8.7495;0.5833 ;0.333 ;0.47;784;1;0;0;0;10000
3;SEIR_pruning;8.7495;0.5833 ;0.333 ;0.47;787;1;0;0;0;10000
4;SEIR_pruning;5.833;0.5833 ;0.333 ;0.47;792;1;0;0;0;10000
5;SEIR_pruning;5.833;0.5833 ;0.333 ;0.47;784;1;0;0;0;10000
6;SEIR_pruning;5.833;0.5833 ;0.333 ;0.47;787;1;0;0;0;10000
7;SEIR_pruning;4.6664;0.5833 ;0.333 ;0.47;792;1;0;0;0;10000
8;SEIR_pruning;4.6664;0.5833 ;0.333 ;0.47;784;1;0;0;0;10000
9;SEIR_pruning;4.6664;0.5833 ;0.333 ;0.47;787;1;0;0;0;10000
10;SEIR_pruning;2.95;0.5833 ;0.333 ;0.47;792;1;0;0;0;10000
11;SEIR_pruning;2.95;0.5833 ;0.333 ;0.47;784;1;0;0;0;10000
12;SEIR_pruning;2.95;0.5833 ;0.333 ;0.47;787;1;0;0;0;10000
1.1;SEIR_pruning;8.7495;0.5833 ;0.333 ;0.47;792;1;0;0;0;1000
2.1;SEIR_pruning;8.7495;0.5833 ;0.333 ;0.47;784;1;0;0;0;1000
3.1;SEIR_pruning;8.7495;0.5833 ;0.333 ;0.47;787;1;0;0;0;1000
4.1;SEIR_pruning;5.833;0.5833 ;0.333 ;0.47;792;1;0;0;0;1000
5.1;SEIR_pruning;5.833;0.5833 ;0.333 ;0.47;784;1;0;0;0;1000
6.1;SEIR_pruning;5.833;0.5833 ;0.333 ;0.47;787;1;0;0;0;1000
7.1;SEIR_pruning;4.6664;0.5833 ;0.333 ;0.47;792;1;0;0;0;1000
8.1;SEIR_pruning;4.6664;0.5833 ;0.333 ;0.47;784;1;0;0;0;1000
9.1;SEIR_pruning;4.6664;0.5833 ;0.333 ;0.47;787;1;0;0;0;1000
10.1;SEIR_pruning;2.95;0.5833 ;0.333 ;0.47;792;1;0;0;0;1000
11.1;SEIR_pruning;2.95;0.5833 ;0.333 ;0.47;784;1;0;0;0;1000
12.1;SEIR_pruning;2.95;0.5833 ;0.333 ;0.47;787;1;0;0;0;1000
1.2;SEIR_pruning;8.7495;0.5833 ;0.333 ;0.47;792;1;0;0;0;5000
2.2;SEIR_pruning;8.7495;0.5833 ;0.333 ;0.47;784;1;0;0;0;5000
3.2;SEIR_pruning;8.7495;0.5833 ;0.333 ;0.47;787;1;0;0;0;5000
4.2;SEIR_pruning;5.833;0.5833 ;0.333 ;0.47;792;1;0;0;0;5000
5.2;SEIR_pruning;5.833;0.5833 ;0.333 ;0.47;784;1;0;0;0;5000
6.2;SEIR_pruning;5.833;0.5833 ;0.333 ;0.47;787;1;0;0;0;5000
7.2;SEIR_pruning;4.6664;0.5833 ;0.333 ;0.47;792;1;0;0;0;5000
8.2;SEIR_pruning;4.6664;0.5833 ;0.333 ;0.47;784;1;0;0;0;5000
9.2;SEIR_pruning;4.6664;0.5833 ;0.333 ;0.47;787;1;0;0;0;5000
10.2;SEIR_pruning;2.95;0.5833 ;0.333 ;0.47;792;1;0;0;0;5000
11.2;SEIR_pruning;2.95;0.5833 ;0.333 ;0.47;784;1;0;0;0;5000
12.2;SEIR_pruning;2.95;0.5833 ;0.333 ;0.47;787;1;0;0;0;5000
