,12-00245_B3_-1,12-00241_B3_-1,23-00796_B3_-1,11-00840_B3_-1,24-00157_B3_-1,19-00874_B3_-1,10-00134_B3_-1,12-00315_B3_-1,18-00159_B3_-1,10-00310_B3_-1,10-00325_B3_-1,16-00302_B3_-1,11-00297_B3_-1,11-00684_B3_-1,11-00694_B3_-1
12-00245_B3_-1,0.0,,,,,,,,,,,,,,
12-00241_B3_-1,0.01754385964912286,0.0,,,,,,,,,,,,,
23-00796_B3_-1,0.037280701754385914,0.02412280701754388,0.0,,,,,,,,,,,,
11-00840_B3_-1,0.02412280701754388,0.006578947368421018,0.030701754385964897,0.0,,,,,,,,,,,
24-00157_B3_-1,0.04385964912280704,0.02631578947368418,0.02412280701754388,0.028508771929824595,0.0,,,,,,,,,,
19-00874_B3_-1,0.030701754385964897,0.01754385964912286,0.04166666666666663,0.02412280701754388,0.04385964912280704,0.0,,,,,,,,,
10-00134_B3_-1,0.02631578947368418,0.013157894736842146,0.037280701754385914,0.019736842105263164,0.03947368421052633,0.00877192982456143,0.0,,,,,,,,
12-00315_B3_-1,0.028508771929824595,0.015350877192982448,0.03947368421052633,0.021929824561403466,0.04166666666666663,0.010964912280701733,0.006578947368421018,0.0,,,,,,,
18-00159_B3_-1,0.02412280701754388,0.006578947368421018,0.030701754385964897,0.00877192982456143,0.028508771929824595,0.02412280701754388,0.019736842105263164,0.021929824561403466,0.0,,,,,,
10-00310_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,,,,,
10-00325_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,,,,
16-00302_B3_-1,0.02631578947368418,0.013157894736842146,0.037280701754385914,0.019736842105263164,0.03947368421052633,0.00877192982456143,0.004385964912280715,0.006578947368421018,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.0,,,
11-00297_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,0.002192982456140302,0.0,,
11-00684_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,0.002192982456140302,0.0,0.0,
11-00694_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,0.002192982456140302,0.0,0.0,0.0
