ClusterNumber001,Count,ClusterNumber01,Count,ClusterNumber01,Count,ClusterNumber015,Count,ClusterNumber03,Count,ClusterNumber05,Count,ClusterNumber1,Count
-1,1701,102.0,407.0,102.0,407.0,70.0,485.0,19.0,829.0,10.0,1640.0,1.0,2918.0
240,30,9.0,351.0,9.0,351.0,34.0,425.0,14.0,712.0,7.0,563.0,4.0,465.0
163,14,15.0,280.0,15.0,280.0,10.0,351.0,9.0,539.0,5.0,464.0,3.0,62.0
475,13,55.0,272.0,55.0,272.0,14.0,280.0,12.0,427.0,9.0,351.0,2.0,18.0
199,13,111.0,184.0,111.0,184.0,75.0,242.0,10.0,351.0,1.0,197.0,,
521,12,108.0,142.0,108.0,142.0,71.0,210.0,1.0,197.0,8.0,157.0,,
285,12,142.0,136.0,142.0,136.0,6.0,176.0,6.0,157.0,4.0,61.0,,
142,12,61.0,128.0,61.0,128.0,53.0,158.0,18.0,65.0,6.0,10.0,,
677,11,-1.0,118.0,-1.0,118.0,16.0,154.0,4.0,61.0,2.0,9.0,,
88,10,94.0,100.0,94.0,100.0,55.0,103.0,11.0,28.0,3.0,9.0,,
352,10,79.0,82.0,79.0,82.0,44.0,94.0,8.0,24.0,-1.0,2.0,,
229,10,99.0,81.0,99.0,81.0,39.0,78.0,15.0,12.0,,,,
190,10,103.0,72.0,103.0,72.0,37.0,65.0,17.0,11.0,,,,
152,10,84.0,66.0,84.0,66.0,4.0,61.0,5.0,10.0,,,,
139,10,98.0,59.0,98.0,59.0,-1.0,36.0,7.0,9.0,,,,
713,10,105.0,57.0,105.0,57.0,63.0,35.0,2.0,9.0,,,,
623,9,86.0,41.0,86.0,41.0,52.0,34.0,3.0,9.0,,,,
193,9,54.0,34.0,54.0,34.0,51.0,32.0,13.0,7.0,,,,
500,8,83.0,33.0,83.0,33.0,28.0,27.0,-1.0,4.0,,,,
13,8,81.0,33.0,81.0,33.0,72.0,25.0,16.0,2.0,,,,
124,8,53.0,32.0,53.0,32.0,33.0,25.0,,,,,,
196,8,7.0,31.0,7.0,31.0,11.0,23.0,,,,,,
211,7,6.0,30.0,6.0,30.0,15.0,19.0,,,,,,
42,7,27.0,27.0,27.0,27.0,65.0,19.0,,,,,,
144,7,75.0,26.0,75.0,26.0,73.0,15.0,,,,,,
108,6,38.0,25.0,38.0,25.0,64.0,13.0,,,,,,
156,6,100.0,25.0,100.0,25.0,43.0,13.0,,,,,,
89,6,12.0,23.0,12.0,23.0,18.0,12.0,,,,,,
202,6,74.0,21.0,74.0,21.0,50.0,11.0,,,,,,
625,6,58.0,20.0,58.0,20.0,2.0,11.0,,,,,,
205,6,16.0,18.0,16.0,18.0,36.0,11.0,,,,,,
303,6,33.0,18.0,33.0,18.0,20.0,10.0,,,,,,
218,6,95.0,16.0,95.0,16.0,1.0,9.0,,,,,,
39,6,92.0,16.0,92.0,16.0,5.0,9.0,,,,,,
171,6,106.0,15.0,106.0,15.0,7.0,9.0,,,,,,
182,6,46.0,13.0,46.0,13.0,3.0,8.0,,,,,,
68,5,78.0,13.0,78.0,13.0,27.0,8.0,,,,,,
197,5,18.0,12.0,18.0,12.0,26.0,8.0,,,,,,
80,5,52.0,11.0,52.0,11.0,13.0,8.0,,,,,,
173,5,19.0,10.0,19.0,10.0,62.0,8.0,,,,,,
28,5,1.0,9.0,1.0,9.0,69.0,7.0,,,,,,
150,5,5.0,9.0,5.0,9.0,42.0,7.0,,,,,,
164,5,2.0,8.0,2.0,8.0,61.0,7.0,,,,,,
1,4,25.0,8.0,25.0,8.0,60.0,6.0,,,,,,
119,4,26.0,8.0,26.0,8.0,17.0,6.0,,,,,,
642,4,97.0,8.0,97.0,8.0,49.0,6.0,,,,,,
101,4,14.0,8.0,14.0,8.0,19.0,6.0,,,,,,
61,4,10.0,8.0,10.0,8.0,9.0,6.0,,,,,,
106,4,71.0,8.0,71.0,8.0,41.0,6.0,,,,,,
564,4,57.0,7.0,57.0,7.0,29.0,6.0,,,,,,
232,4,70.0,7.0,70.0,7.0,59.0,5.0,,,,,,
396,4,45.0,7.0,45.0,7.0,58.0,5.0,,,,,,
612,4,4.0,7.0,4.0,7.0,24.0,5.0,,,,,,
