SequenceName,ClusterNumber,type,date
11-00417,1,G3,2011-05-04
11-00410,1,G3,2011-05-04
11-00415,1,G3,2011-05-04
11-00250,1,G3,2011-03-28
11-00251,1,G3,2011-03-28
11-00211,1,G3,2011-03-17
11-00201,1,G3,2011-03-15
11-00106,1,G3,2011-02-18
10-00500,1,G3,2010-10-05
09-00154,-1,H1,2009-03-20
15-01352,2,H1,2015-09-08
15-01353,2,H1,2015-09-10
16-00643,2,H1,2016-10-07
16-00616,2,H1,2016-09-21
14-00051,2,H1,2014-02-13
16-00012,2,H1,2016-01-10
09-00253,2,H1,2009-05-06
11-00282,2,H1,2011-04-06
19-01352,-1,C2,2019-12-11
05-01027,-1,B2,2005-10-27
01-02454,3,D6,2001-11-07
01-02451,3,D6,2001-11-05
01-02192,3,D6,2001-10-26
01-01964,3,D6,2001-10-12
01-00400,4,D6,2001-04-13
01-00653,4,D6,2001-04-24
01-00394,4,D6,2001-04-11
01-00215,4,D6,2001-03-08
00-05622,4,D6,2000-12-25
01-00111,4,D6,2001-01-30
01-00025,4,D6,2001-01-15
03-03738,-1,D6,2003-11-26
00-05243,5,D6,2000-07-23
00-05261,5,D6,2000-08-09
00-05235,5,D6,2000-07-16
00-05203,5,D6,2000-06-21
00-04956,5,D6,2000-05-18
00-02769,5,D6,2000-03-20
01-01227,5,D6,2001-07-06
00-04913,5,D6,2000-04-26
00-04957,5,D6,2000-05-18
03-03660,6,C2,2003-07-23
03-03644,6,C2,2003-07-02
03-03643,6,C2,2003-07-01
03-03627,6,C2,2003-06-16
03-00380,6,C2,2003-05-08
03-00255,6,C2,2003-02-27
03-00257,6,C2,2003-02-26
03-00251,6,C2,2003-02-24
03-00243,6,C2,2003-02-17
03-00242,6,C2,2003-02-17
03-00241,6,C2,2003-02-17
03-00234,6,C2,2003-02-14
03-00212,6,C2,2003-01-28
03-00203,6,C2,2003-01-16
03-00096,6,C2,2003-01-15
03-00186,6,C2,2003-01-15
03-00187,6,C2,2003-01-15
03-00178,6,C2,2003-01-14
03-00182,6,C2,2003-01-14
03-00183,6,C2,2003-01-14
03-00181,6,C2,2003-01-14
03-00177,6,C2,2003-01-14
03-00179,6,C2,2003-01-14
03-00176,6,C2,2003-01-14
03-00188,6,C2,2003-01-14
03-00173,6,C2,2003-01-10
02-02218,6,C2,2002-12-23
02-02212,6,C2,2002-12-09
02-02200,6,C2,2002-12-04
02-02019,6,C2,2002-11-11
00-05239,7,C2,2000-07-20
00-05252,7,C2,2000-08-03
00-05238,7,C2,2000-07-18
00-05226,7,C2,2000-07-06
00-04961,7,C2,2000-05-22
00-04959,7,C2,2000-05-19
00-04946,7,C2,2000-05-09
