SequenceName	type	date
00-00022	D7	2000-02-03
00-00035	D7	2000-02-10
00-00043	C2	2000-02-21
00-00049	C2	2000-02-18
00-00061	C2	2000-02-24
00-00065	D7	2000-02-28
00-02699	C2	2000-03-04
00-02702	D7	2000-03-07
00-02703	D7	2000-03-07
00-02704	D7	2000-03-07
00-02725	D7	2000-03-08
00-02728	D7	2000-03-08
00-02730	D7	2000-03-09
00-02731	D7	2000-03-09
00-02732	D7	2000-03-09
00-02733	D7	2000-03-09
00-02735	D7	2000-03-08
00-02736	D7	2000-03-08
00-02737	D7	2000-03-09
00-02741	D7	2000-03-07
00-02752	D7	2000-03-13
00-02757	C2	2000-03-14
00-02761	D7	2000-03-20
00-02769	D6	2000-03-20
00-02770	D7	2000-03-20
00-02773	C2	2000-03-23
00-02775	D7	2000-03-27
00-02792	C2	2000-04-03
00-02797	D7	2000-04-06
00-02798	D7	2000-04-06
00-02804	C2	2000-04-06
00-02816	C2	2000-04-13
00-02820	D7	2000-04-13
00-02824	C2	2000-04-17
00-02826	C2	2000-04-18
00-02833	D7	2000-04-18
00-04913	D6	2000-04-26
00-04914	C2	2000-04-26
00-04917	C2	2000-04-25
00-04919	C2	2000-04-26
00-04928	C2	2000-05-02
00-04929	C2	2000-05-01
00-04932	C2	2000-05-02
00-04933	C2	2000-05-02
00-04936	C2	2000-05-05
00-04938	C2	2000-05-04
00-04946	C2	2000-05-09
00-04948	C2	2000-05-11
00-04949	D7	2000-05-12
00-04956	D6	2000-05-18
00-04957	D6	2000-05-18
00-04959	C2	2000-05-19
00-04961	C2	2000-05-22
00-05035	D7	2000-06-13
00-05039	C2	2000-06-15
00-05198	C2	2000-06-21
00-05201	D7	2000-06-22
00-05203	D6	2000-06-21
00-05211	D7	2000-06-29
00-05213	C2	2000-06-30
00-05226	C2	2000-07-06
00-05230	D7	2000-07-11
00-05235	D6	2000-07-16
00-05238	C2	2000-07-18
00-05239	C2	2000-07-20
00-05243	D6	2000-07-23
00-05252	C2	2000-08-03
00-05261	D6	2000-08-09
00-05606	D7	2000-12-05
00-05614	D7	2000-12-13
00-05615	D7	2000-12-13
00-05622	D6	2000-12-25
01-00025	D6	2001-01-15
01-00028	D7	2001-01-15
01-00031	D7	2001-01-18
01-00032	D7	2001-01-17
01-00111	D6	2001-01-30
01-00118	D7	2001-02-01
01-00119	D7	2001-02-01
01-00152	D7	2001-02-06
01-00162	D7	2001-02-07
01-00165	D7	2001-02-08
