,ID_seq_prefix,amount
31,14-00055,7
20,09-00072,6
157,23-00291,5
96,18-00019,4
5,00-05033,3
2,00-02734,3
1,00-02727,3
48,14-00538,3
49,14-00539,3
74,16-00616,3
52,15-00052,3
54,15-00126,3
25,13-00104,3
18,07-00427,3
4,00-02772,3
133,19-00506,3
88,17-00314,3
108,18-00788,3
97,18-00030,3
120,19-00169,3
123,19-00196,3
115,19-00076,3
124,19-00204,3
114,19-00061,3
138,19-00655,3
7,00-05038,2
8,00-05597,2
11,02-00666,2
0,00-00032,2
9,01-00733,2
10,01-02468,2
30,13-00808,2
29,13-00743,2
28,13-00307,2
27,13-00228,2
26,13-00144,2
24,12-00224,2
23,11-00382,2
22,11-00174,2
15,07-00423,2
21,10-00547,2
19,07-00429,2
17,07-00425,2
16,07-00424,2
12,02-00700,2
13,05-00184,2
14,05-00292,2
6,00-05037,2
3,00-02738,2
46,14-00448,2
43,14-00356,2
50,14-00852,2
45,14-00370,2
44,14-00361,2
32,14-00099,2
39,14-00291,2
40,14-00292,2
41,14-00293,2
42,14-00354,2
35,14-00285,2
36,14-00286,2
33,14-00171,2
34,14-00196,2
62,16-00202,2
61,16-00132,2
65,16-00390,2
63,16-00261,2
67,16-00392,2
68,16-00409,2
69,16-00420,2
64,16-00313,2
70,16-00421,2
71,16-00467,2
72,16-00517,2
73,16-00597,2
75,16-00643,2
76,16-00655,2
77,16-00757,2
66,16-00391,2
78,16-00786,2
79,16-00787,2
81,16-00815,2
80,16-00814,2
83,17-00027,2
47,14-00515,2
51,14-00887,2
53,15-00062,2
55,15-00795,2
56,15-00848,2
57,15-00973,2
58,15-01212,2
59,16-00012,2
60,16-00111,2
37,14-00289,2
38,14-00290,2
94,17-00770,2
93,17-00720,2
92,17-00700,2
91,17-00522,2
90,17-00512,2
89,17-00496,2
87,17-00292,2
86,17-00238,2
82,17-00022,2
85,17-00200,2
84,17-00105,2
102,18-00124,2
99,18-00063,2
103,18-00235,2
105,18-00265,2
95,17-01221,2
110,18-00975,2
109,18-00943,2
107,18-00580,2
106,18-00330,2
104,18-00264,2
113,19-00037,2
112,19-00023,2
111,18-00986,2
118,19-00125,2
117,19-00116,2
116,19-00092,2
119,19-00134,2
122,19-00175,2
100,18-00086,2
101,18-00088,2
98,18-00031,2
126,19-00233,2
125,19-00231,2
121,19-00174,2
129,19-00487,2
130,19-00498,2
131,19-00500,2
132,19-00504,2
127,19-00257,2
134,19-00517,2
135,19-00643,2
136,19-00650,2
137,19-00653,2
139,19-00656,2
140,19-00657,2
141,19-00658,2
128,19-00404,2
142,19-00967,2
143,19-01092,2
145,19-01095,2
144,19-01093,2
147,20-00121,2
148,20-00194,2
149,20-00332,2
146,20-00079,2
150,20-00333,2
151,20-00334,2
153,21-00160,2
152,20-00335,2
154,22-00571,2
155,23-00139,2
156,23-00140,2
158,23-00303,2
