,0
ReportingDate,4298
Erkrankungsbeginn,4819
ReportingWeek,53
ReportingWeekYear,26
ReportingCounty,420
ReportingDistrict,39
ReportingState,17
MunicipalityKey,150
MeldeLandkreis,420
MeldeLandkreisRegierungsbezirk,39
MeldeLandkreisBundesland,17
CaseDefCategoryComputed,5
FallDefKategorie,5
ReferenceDefComputed,1
Referenzdefinition,1
KlinikVorhanden,4
ClinicalInfoAvailable,4
OnsetOfDisease,4819
AgeComputed,87
AgeMonth,26
StatusDeceased,4
DeceasedReason,2
VerstorbenStatus,4
VerstorbenGrund,2
DeceasedDate,9
ExpositionsortStatus,4
InfektionsortWo,504
HospitalisierungStatus,4
StatusPlaceOfInf,4
PlaceOfInfRegion,550
StatusHospitalization,4
OutbreakIdRecord,3151
StatusVaccination,4
VaccinationCount,7
ImpfungStatus,4
ImpfungAnzahl,7
ImpfungDatum,1321
PathogenMSV,9
Genotyp,9
WHOSequenzID,69
MethodeAkIgGDelta,2
MethodeAkIgM,2
MsvKlassifikation,8
