AgeComputed,count
1,2126
0,1313
4,1312
2,1302
3,1281
5,1263
9,1177
7,1173
6,1160
8,1089
10,1033
11,955
12,870
13,847
14,824
15,798
16,776
17,676
18,556
19,530
20,435
21,366
22,359
23,348
25,320
24,296
26,289
27,262
30,258
29,230
28,222
33,209
32,209
35,197
31,189
34,183
37,170
36,147
38,139
39,133
40,116
42,105
41,102
43,92
45,84
44,74
46,61
47,61
50,54
48,53
49,50
51,42
-1,27
53,27
54,26
52,21
57,19
59,18
56,12
55,12
62,11
58,11
63,8
60,7
64,6
65,5
61,5
66,4
68,4
67,3
72,3
77,2
69,2
83,2
82,2
75,2
71,2
76,1
80,1
92,1
85,1
97,1
84,1
73,1
86,1
112,1
74,1
