InfektionsortWo,count
Deutschland,9039
SK Duisburg,1003
SK München,648
SK Hamburg,357
SK Berlin Friedrichshain-Kreuzberg,329
SK Berlin Reinickendorf,311
LK Ortenaukreis,301
SK Berlin Neukölln,290
SK Berlin Mitte,285
SK Berlin Pankow,245
LK Wesel,221
SK Essen,215
SK Berlin Tempelhof-Schöneberg,212
SK Stuttgart,204
SK Mönchengladbach,182
SK Berlin Steglitz-Zehlendorf,176
SK Düsseldorf,173
SK Köln,169
SK Frankfurt am Main,167
SK Berlin Charlottenburg-Wilmersdorf,136
LK München,136
SK Dortmund,133
SK Berlin Spandau,132
SK Berlin Lichtenberg,132
LK Weilheim-Schongau,115
SK Dresden,115
SK Leipzig,114
LK Mettmann,114
LK Landsberg a.Lech,113
LK Rosenheim,113
SK Berlin Treptow-Köpenick,108
SK Berlin Marzahn-Hellersdorf,107
SK Offenbach,101
LK Wetteraukreis,101
SK Mülheim a.d.Ruhr,90
Italien,86
LK Viersen,86
LK Garmisch-Partenkirchen,85
LK Mühldorf a.Inn,85
LK Fürstenfeldbruck,84
SK Freiburg i.Breisgau,83
Rumänien,82
Schweiz,80
LK Lörrach,80
LK Rhein-Erft-Kreis,79
Frankreich,77
LK Konstanz,75
-nicht ermittelbar-,74
LK Dachau,73
LK Passau,71
LK Esslingen,69
LK Ravensburg,65
SK Krefeld,63
LK Rhein-Sieg-Kreis,62
SK Oberhausen,60
SK Gelsenkirchen,59
LK Stadtverband Saarbrücken,57
LK Ludwigsburg,57
LK Paderborn,56
SK Leverkusen,56
LK Starnberg,55
LK Bad Tölz-Wolfratshausen,55
Region Hannover,54
LK Erding,52
SK Wuppertal,52
LK Ebersberg,51
LK Märkischer Kreis,50
Sachsen,49
LK Breisgau-Hochschwarzwald,49
LK Freising,48
LK Traunstein,48
SK Potsdam,45
LK Karlsruhe,45
Berlin,44
LK Hildesheim,44
LK Rhein-Kreis Neuss,44
SK Nürnberg,44
LK Offenbach,41
LK Euskirchen,41
LK Harburg,41
Thailand,40
LK Oberallgäu,39
LK Unna,39
SK Weimar,39
SK Fürth,39
LK Borken,38
Indien,38
LK Oberbergischer Kreis,38
LK Gießen,37
LK Rottal-Inn,36
LK Schwäbisch Hall,36
SK Wiesbaden,36
LK Kleve,36
Russische Föderation,35
LK Main-Kinzig-Kreis,34
LK Oder-Spree,34
Baden-Württemberg,34
SK Bonn,34
Ukraine,34
LK Hochsauerlandkreis,33
LK Oberhavel,33
SK Halle,32
LK Bodenseekreis,32
LK Rheinisch-Bergischer Kreis,32
LK Potsdam-Mittelmark,32
LK Osnabrück,32
LK Gütersloh,31
Bosnien und Herzegowina,31
LK Recklinghausen,30
LK Miltenberg,30
SK Bochum,30
LK Unterallgäu,29
Österreich,28
Spanien,28
LK Lahn-Dill-Kreis,28
LK Würzburg,28
LK Segeberg,27
SK Kiel,26
LK Waldshut,26
LK Enzkreis,25
Türkei,25
LK Ennepe-Ruhr-Kreis,25
SK Karlsruhe,24
LK Marburg-Biedenkopf,24
LK Barnim,23
LK Landshut,23
LK Germersheim,23
SK Bremen,22
LK Main-Taunus-Kreis,22
LK Rastatt,22
LK Mittelsachsen,22
Hamburg,22
Indonesien,22
LK Eichsfeld,22
LK Augsburg,21
SK Augsburg,21
Vereinigtes Königreich,21
SK Bielefeld,21
LK Pinneberg,21
LK Heilbronn,21
China,21
LK Lippe,21
LK Hochtaunuskreis,21
LK Heinsberg,20
LK Ostallgäu,20
LK Emsland,20
LK Tübingen,20
LK Rhein-Neckar-Kreis,19
StädteRegion Aachen,19
SK Jena,19
LK Soest,19
Kroatien,19
LK Forchheim,19
SK Heidelberg,18
SK Lübeck,18
SK Suhl,18
SK Hagen,18
LK Neuburg-Schrobenhausen,17
LK Main-Spessart,17
SK Mannheim,17
LK Donnersbergkreis,17
LK Lüneburg,16
Niederlande,16
LK Leer,16
Polen,16
LK Limburg-Weilburg,16
LK Stade,16
-nicht erhoben-,16
LK Biberach,16
LK Fürth,16
Serbien,16
SK Neumünster,16
Vietnam,16
Ägypten,15
LK Vogtlandkreis,15
LK Berchtesgadener Land,15
