MeldeLandkreisRegierungsbezirk,count
Köln,3026
Oberbayern,2971
Düsseldorf,2722
Berlin,2717
Weser-Ems,1497
Oberfranken,1445
Arnsberg,1152
Freiburg,1116
Niederbayern,889
Schwaben,828
Darmstadt,816
Stuttgart,726
Schleswig-Holstein,600
Hamburg,537
Lüneburg,481
Unterfranken,455
Karlsruhe,443
Koblenz,369
Thüringen,360
Rheinhessen-Pfalz,359
Mittelfranken,337
Tübingen,334
Brandenburg,326
Münster,317
Braunschweig,272
Dresden,270
Sachsen-Anhalt,249
Hannover,247
Detmold,226
Gießen,205
Leipzig,173
Trier,150
Chemnitz,137
Kassel,106
Oberpfalz,92
Saarland,86
Bremen,79
Mecklenburg-Vorpommern,49
-nicht ermittelbar-,3
