MeldeLandkreis,count
SK Duisburg,1024
SK München,1013
SK Köln,814
LK Coburg,753
LK Leer,593
SK Hamburg,537
SK Coburg,439
LK Rhein-Sieg-Kreis,402
LK Oberbergischer Kreis,390
SK Berlin Friedrichshain-Kreuzberg,349
LK Aichach-Friedberg,345
LK Ortenaukreis,339
SK Berlin Reinickendorf,335
SK Berlin Neukölln,327
SK Aachen,321
LK Euskirchen,319
LK Märkischer Kreis,319
LK Konstanz,316
SK Berlin Mitte,309
SK Emden,306
SK Berlin Pankow,291
LK Wesel,281
SK Essen,266
SK Berlin Tempelhof-Schöneberg,242
SK Stuttgart,242
LK Rheinisch-Bergischer Kreis,234
LK Deggendorf,228
SK Dresden,214
LK Emsland,208
LK Hochsauerlandkreis,204
LK München,200
SK Frankfurt am Main,200
LK Rottal-Inn,199
SK Düsseldorf,192
SK Mönchengladbach,190
SK Berlin Steglitz-Zehlendorf,180
LK Regen,180
LK Fürstenfeldbruck,172
SK Augsburg,171
LK Rhein-Erft-Kreis,167
LK Nordfriesland,164
SK Leipzig,163
LK Rosenheim,162
LK Dachau,159
SK Dortmund,159
SK Berlin Charlottenburg-Wilmersdorf,150
LK Mettmann,149
LK Bad Tölz-Wolfratshausen,147
SK Berlin Spandau,146
LK Verden,144
SK Berlin Lichtenberg,143
SK Erfurt,136
LK Starnberg,132
LK Wetteraukreis,131
LK Landsberg a.Lech,130
SK Nürnberg,128
SK Halle,126
SK Berlin Treptow-Köpenick,126
SK Berlin Marzahn-Hellersdorf,119
Region Hannover,118
LK Aachen,116
LK Freising,114
SK Offenbach,114
LK Osterode am Harz,113
SK Freiburg i.Breisgau,113
LK Würzburg,113
LK Weilheim-Schongau,111
LK Lüchow-Dannenberg,111
LK Esslingen,111
LK Garmisch-Partenkirchen,103
LK Rhein-Kreis Neuss,102
SK Mülheim a.d.Ruhr,101
LK Aurich,101
LK Lörrach,96
LK Ennepe-Ruhr-Kreis,95
LK Ludwigsburg,95
LK Mainz-Bingen,94
LK Viersen,93
LK Osnabrück,90
LK Passau,89
LK Soest,87
LK Dingolfing-Landau,87
LK Mühldorf a.Inn,87
SK Krefeld,86
LK Paderborn,85
LK Vulkaneifel,85
LK Augsburg,83
SK Oberhausen,81
SK Hagen,80
LK Ravensburg,79
SK Bonn,79
LK Karlsruhe,77
LK Ebersberg,74
LK Miltenberg,73
LK Borken,73
LK Calw,72
SK Gelsenkirchen,71
LK Altenkirchen,70
LK Berchtesgadener Land,70
LK Erding,70
LK Breisgau-Hochschwarzwald,69
LK Harburg,69
SK Wuppertal,69
LK Waldshut,68
LK Bamberg,66
SK Bremen,66
LK Hildesheim,64
LK Gießen,64
LK Germersheim,63
SK Leverkusen,63
LK Oder-Spree,63
SK Bamberg,63
LK Düren,61
LK Rotenburg (Wümme),60
LK Neuwied,60
LK Schwäbisch Hall,60
SK Würzburg,59
LK Kitzingen,59
LK Offenbach,59
LK Tübingen,58
SK Hamm,57
LK Marburg-Biedenkopf,57
LK Tuttlingen,57
LK Unna,56
LK Segeberg,56
LK Traunstein,55
LK Sigmaringen,53
LK Oberallgäu,53
SK Karlsruhe,50
LK Kleve,50
LK Main-Kinzig-Kreis,50
LK Stadtverband Saarbrücken,50
SK Kiel,49
SK Bielefeld,48
SK Weimar,48
LK Schleswig-Flensburg,48
LK Rhein-Neckar-Kreis,47
LK Pinneberg,47
SK Potsdam,47
LK Bad Kreuznach,47
LK Potsdam-Mittelmark,47
LK Rendsburg-Eckernförde,47
LK Warendorf,46
LK Unterallgäu,46
SK Fürth,46
LK Neuburg-Schrobenhausen,46
LK Stormarn,44
LK Forchheim,44
LK Fürth,44
LK Altmarkkreis Salzwedel,44
SK Wiesbaden,44
LK Limburg-Weilburg,43
LK Mayen-Koblenz,43
LK Main-Spessart,43
SK Chemnitz,42
LK Bodenseekreis,41
LK Goslar,41
LK Mittelsachsen,40
LK Heinsberg,40
LK Miesbach,40
LK Heilbronn,40
LK Oberhavel,40
LK Recklinghausen,39
SK Bochum,39
LK Nürnberger Land,38
LK Cloppenburg,37
SK Mannheim,36
LK Gütersloh,36
LK Main-Taunus-Kreis,35
LK Lahn-Dill-Kreis,35
LK Hochtaunuskreis,35
LK Biberach,35
LK Rastatt,35
LK Göppingen,34
LK Landshut,34
LK Main-Tauber-Kreis,34
LK Lichtenfels,34
LK Böblingen,33
LK Eichsfeld,33
LK Odenwaldkreis,33
LK Cham,32
LK Rems-Murr-Kreis,32
LK Siegen-Wittgenstein,32
LK Vogtlandkreis,32
LK Bernkastel-Wittlich,31
LK Pfaffenhofen a.d.Ilm,31
LK Ostallgäu,31
LK Steinfurt,30
LK Darmstadt-Dieburg,30
LK Cochem-Zell,30
SK Koblenz,30
LK Oldenburg,29
LK Neckar-Odenwald-Kreis,28
SK Heidelberg,27
LK Donau-Ries,27
LK Schwarzwald-Baar-Kreis,26
LK Bad Dürkheim,26
SK Darmstadt,26
LK Enzkreis,26
LK Rhein-Lahn-Kreis,25
LK Plön,25
LK Peine,25
LK Bautzen,24
LK Barnim,24
SK Kassel,24
LK Rhein-Hunsrück-Kreis,24
LK Coesfeld,24
SK Landau i.d.Pfalz,24
LK Schweinfurt,24
SK Trier,23
LK Reutlingen,23
LK Groß-Gerau,23
LK Lüneburg,23
SK Oldenburg,23
LK Lippe,23
LK Waldeck-Frankenberg,23
LK Aschaffenburg,23
SK Landshut,23
SK Jena,22
LK Northeim,22
LK Wesermarsch,22
LK Südliche Weinstraße,22
SK Neumünster,22
LK Westerwaldkreis,22
SK Braunschweig,22
LK Haßberge,22
LK Ammerland,21
SK Solingen,21
LK Straubing-Bogen,21
LK Teltow-Fläming,20
LK Eichstätt,20
StädteRegion Aachen,20
LK Göttingen (alt),20
SK Flensburg,20
SK Pforzheim,20
LK Kronach,20
LK Roth,20
LK Donnersbergkreis,20
LK Nienburg (Weser),20
SK Lübeck,20
LK Minden-Lübbecke,19
LK Fulda,19
