OnsetOfDisease,count
2002-01-28 00:00:00.000,80
2001-05-07 00:00:00.000,61
2002-02-25 00:00:00.000,61
2002-03-04 00:00:00.000,54
2001-04-30 00:00:00.000,54
2002-02-18 00:00:00.000,54
2001-03-26 00:00:00.000,53
2001-04-02 00:00:00.000,50
2001-05-18 00:00:00.000,49
2002-02-04 00:00:00.000,48
2001-03-01 00:00:00.000,47
2001-04-23 00:00:00.000,46
2002-01-14 00:00:00.000,46
2002-02-21 00:00:00.000,46
2001-04-20 00:00:00.000,45
2001-04-17 00:00:00.000,45
2002-02-26 00:00:00.000,45
2001-03-12 00:00:00.000,44
2002-02-14 00:00:00.000,44
2001-04-18 00:00:00.000,43
2001-04-12 00:00:00.000,43
2001-05-04 00:00:00.000,43
2001-05-03 00:00:00.000,43
2001-04-09 00:00:00.000,43
2001-04-19 00:00:00.000,43
2001-03-15 00:00:00.000,43
2001-05-28 00:00:00.000,43
2002-01-21 00:00:00.000,42
2001-03-30 00:00:00.000,42
2001-05-08 00:00:00.000,42
2001-05-14 00:00:00.000,42
2002-02-19 00:00:00.000,42
2002-01-25 00:00:00.000,42
2002-03-05 00:00:00.000,41
2002-01-17 00:00:00.000,41
2001-03-14 00:00:00.000,41
2001-04-04 00:00:00.000,40
2001-03-19 00:00:00.000,40
2001-05-02 00:00:00.000,40
2002-02-11 00:00:00.000,40
2001-06-11 00:00:00.000,39
2002-01-18 00:00:00.000,39
2006-04-03 00:00:00.000,39
2001-03-13 00:00:00.000,38
2002-03-11 00:00:00.000,38
2001-03-10 00:00:00.000,38
2001-03-27 00:00:00.000,37
2002-01-02 00:00:00.000,37
2001-05-25 00:00:00.000,37
2001-03-20 00:00:00.000,37
2002-03-06 00:00:00.000,37
2001-04-03 00:00:00.000,36
2001-03-16 00:00:00.000,36
2001-03-09 00:00:00.000,36
2001-05-10 00:00:00.000,36
2002-03-14 00:00:00.000,36
2002-03-01 00:00:00.000,35
2002-02-22 00:00:00.000,35
2001-05-17 00:00:00.000,35
2001-04-08 00:00:00.000,34
2001-03-17 00:00:00.000,34
2001-04-22 00:00:00.000,34
2001-04-05 00:00:00.000,34
2002-01-07 00:00:00.000,33
2001-04-24 00:00:00.000,33
2002-03-25 00:00:00.000,33
2001-03-02 00:00:00.000,33
2001-02-28 00:00:00.000,33
2001-05-21 00:00:00.000,32
2001-04-06 00:00:00.000,32
2001-06-18 00:00:00.000,32
2001-03-29 00:00:00.000,32
2006-04-04 00:00:00.000,32
2002-02-27 00:00:00.000,32
