PlaceOfInfRegion,count
21000109.0,9039
11005112.0,1003
11009162.0,648
11002000.0,357
11011002.0,329
11011012.0,311
11008317.0,301
11011008.0,290
11011001.0,285
11011003.0,245
11005170.0,221
11005113.0,215
11011007.0,212
11008111.0,204
11005116.0,182
11011006.0,176
11005111.0,173
11005315.0,169
11006412.0,167
11009184.0,136
11011004.0,136
11005913.0,133
11011011.0,132
11011005.0,132
11014612.0,115
11009190.0,115
11005158.0,114
11014713.0,114
11009187.0,113
11009181.0,113
11011009.0,108
11011010.0,107
11006440.0,101
11006413.0,101
11005117.0,90
11005166.0,86
21000127.0,86
11009180.0,85
11009183.0,85
11009179.0,84
11008311.0,83
21000114.0,82
21000140.0,80
11008336.0,80
11005362.0,79
21000150.0,77
11008335.0,75
-1.0,74
11009174.0,73
11009275.0,71
11008116.0,69
11008436.0,65
11005114.0,63
11005382.0,62
11005119.0,60
11005513.0,59
11010041.0,57
11008118.0,57
11005316.0,56
11005774.0,56
11009173.0,55
11009188.0,55
11003241.0,54
11005124.0,52
11009177.0,52
11009175.0,51
11005962.0,50
11008315.0,49
13000014.0,49
11009178.0,48
11009189.0,48
11008215.0,45
11012054.0,45
11005162.0,44
13000011.0,44
11009564.0,44
11003254.0,44
11006438.0,41
11005366.0,41
11003353.0,41
21000219.0,40
11005978.0,39
11016055.0,39
11009780.0,39
11009563.0,39
21000223.0,38
11005374.0,38
11005554.0,38
11006531.0,37
11008127.0,36
11005154.0,36
11009277.0,36
11006414.0,36
21000123.0,35
11012067.0,34
11005314.0,34
11006435.0,34
21000155.0,34
13000008.0,34
11005958.0,33
11012065.0,33
11012069.0,32
11015002.0,32
11005378.0,32
11003459.0,32
11008435.0,32
11005754.0,31
21000118.0,31
11005562.0,30
11009676.0,30
11005911.0,30
11009778.0,29
11009679.0,28
11006532.0,28
21000110.0,28
21000134.0,28
11001060.0,27
11001002.0,26
11008337.0,26
11008236.0,25
11005954.0,25
21000208.0,25
11006534.0,24
11008212.0,24
11009274.0,23
11007334.0,23
11012060.0,23
11004011.0,22
11014522.0,22
13000002.0,22
11008216.0,22
11006436.0,22
21000231.0,22
11016061.0,22
11008125.0,21
21000216.0,21
21000132.0,21
11001056.0,21
11005766.0,21
11009772.0,21
11005711.0,21
11009761.0,21
11006434.0,21
11005370.0,20
11003454.0,20
11009777.0,20
11008416.0,20
11005334.0,19
11009474.0,19
11008226.0,19
11016053.0,19
21000119.0,19
11005974.0,19
11008221.0,18
11001003.0,18
11016054.0,18
11005914.0,18
11009677.0,17
11008222.0,17
11007333.0,17
11009185.0,17
11003355.0,16
11006533.0,16
21000243.0,16
11008426.0,16
11009573.0,16
11001004.0,16
21000122.0,16
0.0,16
11003359.0,16
21000135.0,16
21000121.0,16
11003457.0,16
11003358.0,15
11009172.0,15
11008437.0,15
11009572.0,15
21000301.0,15
11009671.0,15
11009771.0,15
11014523.0,15
11008231.0,14
11012072.0,14
11009779.0,14
11003155.0,14
11008327.0,14
11008121.0,14
11005358.0,14
21000213.0,13
11012061.0,13
11003152.0,13
11007137.0,13
11003453.0,13
11006634.0,13
11009279.0,13
11005558.0,13
21000220.0,12
11008225.0,12
11009574.0,12
11009663.0,12
11016071.0,12
11006611.0,12
21000111.0,12
11003256.0,12
11009576.0,12
11003255.0,12
11015091.0,12
21000350.0,12
11008119.0,11
11008326.0,11
11016051.0,11
11007141.0,11
11007313.0,11
11005512.0,11
11007332.0,11
11008117.0,11
11008136.0,11
11005970.0,11
11005566.0,11
11001057.0,11
11005120.0,11
11007111.0,11
21000256.0,10
11009182.0,10
11009775.0,10
11006437.0,10
11006439.0,10
11014625.0,10
11003352.0,10
11012068.0,10
11015081.0,10
11005770.0,10
11001001.0,9
11008211.0,9
11001055.0,9
11008235.0,9
11012064.0,9
11007133.0,9
11009776.0,9
11009372.0,9
11001054.0,8
11006631.0,8
11009271.0,8
31099999.0,8
11007231.0,8
11007135.0,8
11012063.0,8
11001059.0,8
21000303.0,8
11007143.0,8
11009678.0,8
11016067.0,8
11005122.0,8
11003402.0,8
11014511.0,8
11008115.0,8
11013076.0,7
21000253.0,7
21000101.0,7
11009261.0,7
11009375.0,7
11008316.0,7
11008417.0,7
11005313.0,7
11007337.0,7
11009672.0,7
11005515.0,7
11006432.0,7
11006411.0,7
11015003.0,7
21000255.0,6
11007338.0,6
21000148.0,6
11008421.0,6
11006633.0,6
11003356.0,6
11008425.0,6
11009376.0,6
11003458.0,6
21000126.0,6
11007331.0,6
11009362.0,6
11009675.0,6
31000004.0,6
21000212.0,6
13000009.0,6
11003451.0,6
11006431.0,6
11009571.0,6
11007132.0,5
11005758.0,5
11003460.0,5
11009562.0,5
21000246.0,5
11009186.0,5
21000156.0,5
11001062.0,5
11003403.0,5
11009673.0,5
11003157.0,5
11004012.0,5
11009461.0,5
11003251.0,5
21000226.0,5
11008237.0,5
11003361.0,5
11001061.0,5
13000006.0,5
11015088.0,5
11005762.0,5
11005354.0,5
11005916.0,5
11015084.0,5
11003357.0,5
11001053.0,4
11003351.0,4
11014524.0,4
11008415.0,4
11009662.0,4
11009773.0,4
11005966.0,4
11009176.0,4
11015086.0,4
11009674.0,4
11012052.0,4
11005570.0,4
11009763.0,4
21000339.0,4
11007315.0,4
11009273.0,4
11009565.0,4
21000217.0,4
11009762.0,4
21000247.0,4
11016074.0,4
11009471.0,4
11006635.0,4
21001060.0,4
11014628.0,4
11003153.0,4
11013055.0,4
21000315.0,4
11006636.0,4
11008325.0,3
11009276.0,3
11009272.0,3
41122001.0,3
11009361.0,3
41163008.0,3
41476003.0,3
11007316.0,3
11013071.0,3
21000144.0,3
13000005.0,3
11009363.0,3
11009774.0,3
11001051.0,3
21000159.0,3
21000205.0,3
11010044.0,3
21000404.0,3
21000131.0,3
21000309.0,3
21000257.0,3
41150001.0,3
31000003.0,3
11003257.0,3
11016065.0,3
11012073.0,3
41154031.0,3
11009278.0,3
11007138.0,3
21000332.0,3
11008135.0,3
11013073.0,3
11006433.0,3
11003404.0,3
11003455.0,3
11009171.0,3
11016069.0,3
11012053.0,3
11009373.0,3
41469005.0,2
21000234.0,2
11009577.0,2
21000416.0,2
21000207.0,2
41166013.0,2
41160038.0,2
21000224.0,2
21000242.0,2
21005770.0,2
41168013.0,2
11014626.0,2
21000502.0,2
11013075.0,2
11016066.0,2
13000003.0,2
21000318.0,2
11016077.0,2
11016064.0,2
21000104.0,2
41164003.0,2
21000201.0,2
11016070.0,2
11016073.0,2
11014521.0,2
11010045.0,2
11015089.0,2
11003401.0,2
11009661.0,2
11007340.0,2
11007339.0,2
11010042.0,2
11009163.0,2
11007314.0,2
11008128.0,2
11013056.0,2
11007319.0,2
11003156.0,2
21000322.0,2
21000501.0,2
11013003.0,2
11003103.0,2
11013051.0,2
21000112.0,2
11003151.0,2
11013059.0,2
11014729.0,2
21000335.0,2
11003252.0,2
11014627.0,2
21000125.0,2
11003452.0,2
11003101.0,2
21000136.0,2
21000138.0,2
11013058.0,2
11007335.0,2
11007140.0,2
21000438.0,2
21000399.0,2
21000116.0,2
11009477.0,2
41130014.0,1
21000407.0,1
21000250.0,1
21000103.0,1
21000324.0,1
11013054.0,1
41130009.0,1
41125021.0,1
41148002.0,1
41158008.0,1
11015083.0,1
41469001.0,1
31002850.0,1
41151005.0,1
11006632.0,1
11009377.0,1
21000117.0,1
21000333.0,1
41432020.0,1
11003159.0,1
21005758.0,1
13000010.0,1
41151007.0,1
21000398.0,1
11016075.0,1
13000013.0,1
11003102.0,1
11007312.0,1
41161005.0,1
11009472.0,1
41137020.0,1
41134008.0,1
11009476.0,1
21000151.0,1
21000252.0,1
41154003.0,1
13000001.0,1
11009575.0,1
41154002.0,1
21000401.0,1
41353015.0,1
21000352.0,1
41154010.0,1
41154009.0,1
21000343.0,1
21000203.0,1
41154028.0,1
11013052.0,1
41163040.0,1
11009161.0,1
41148008.0,1
11013004.0,1
21000235.0,1
11009263.0,1
21000261.0,1
11009262.0,1
11007336.0,1
11013002.0,1
11003405.0,1
11009478.0,1
11013061.0,1
21001004.0,1
21000316.0,1
11016052.0,1
11015085.0,1
11016072.0,1
11001058.0,1
11013057.0,1
21000342.0,1
21000215.0,1
21000209.0,1
11007131.0,1
21000227.0,1
11016068.0,1
11012071.0,1
21000145.0,1
21006412.0,1
11007134.0,1
13000012.0,1
11013062.0,1
11013005.0,1
41436004.0,1
41137015.0,1
41000025.0,1
11006535.0,1
41137004.0,1
11009462.0,1
41165005.0,1
41129006.0,1
11009764.0,1
11010046.0,1
41157015.0,1
11003462.0,1
11007311.0,1
41161001.0,1
13000015.0,1
11015087.0,1
11005915.0,1
41160012.0,1
21000206.0,1
41472008.0,1
21000137.0,1
11007232.0,1
11012051.0,1
11007211.0,1
41154035.0,1
