ReportingDate,count
2002-03-04 00:00:00.000,296
2001-05-14 00:00:00.000,291
2001-03-19 00:00:00.000,289
2001-04-30 00:00:00.000,288
2001-05-28 00:00:00.000,284
2002-02-18 00:00:00.000,284
2001-04-09 00:00:00.000,283
2001-04-23 00:00:00.000,280
2001-04-02 00:00:00.000,278
2001-06-18 00:00:00.000,267
2002-02-25 00:00:00.000,265
2002-02-11 00:00:00.000,256
2001-03-26 00:00:00.000,246
2001-05-07 00:00:00.000,246
2002-03-11 00:00:00.000,243
2001-03-05 00:00:00.000,241
2002-01-28 00:00:00.000,236
2001-05-21 00:00:00.000,236
2001-06-04 00:00:00.000,226
2001-04-16 00:00:00.000,216
2002-03-18 00:00:00.000,206
2001-03-12 00:00:00.000,193
2006-04-03 00:00:00.000,178
2002-05-13 00:00:00.000,173
2001-06-25 00:00:00.000,171
2001-06-11 00:00:00.000,168
2006-04-24 00:00:00.000,167
2006-03-27 00:00:00.000,166
2002-04-15 00:00:00.000,159
2002-03-25 00:00:00.000,157
2006-04-10 00:00:00.000,153
2002-02-04 00:00:00.000,152
2002-01-14 00:00:00.000,152
2002-04-08 00:00:00.000,150
2006-04-17 00:00:00.000,145
2002-01-07 00:00:00.000,144
2001-07-02 00:00:00.000,144
2002-04-01 00:00:00.000,142
2002-01-21 00:00:00.000,132
2006-03-20 00:00:00.000,130
2002-04-29 00:00:00.000,124
2006-05-22 00:00:00.000,119
2002-05-06 00:00:00.000,117
2001-02-19 00:00:00.000,116
2001-02-26 00:00:00.000,114
2006-05-01 00:00:00.000,113
2006-03-13 00:00:00.000,111
2002-04-22 00:00:00.000,107
2006-05-15 00:00:00.000,105
2006-05-08 00:00:00.000,104
2001-02-12 00:00:00.000,104
2001-01-29 00:00:00.000,103
2001-12-31 00:00:00.000,103
2001-12-17 00:00:00.000,100
2002-05-27 00:00:00.000,100
2002-06-03 00:00:00.000,97
2008-04-14 00:00:00.000,97
2008-05-05 00:00:00.000,95
2002-05-20 00:00:00.000,92
2006-05-29 00:00:00.000,91
2001-02-05 00:00:00.000,90
2001-12-10 00:00:00.000,89
2003-01-13 00:00:00.000,87
2008-03-31 00:00:00.000,82
2006-06-05 00:00:00.000,81
2001-07-09 00:00:00.000,78
2002-06-10 00:00:00.000,75
2011-04-25 00:00:00.000,74
2002-06-17 00:00:00.000,73
2008-04-28 00:00:00.000,72
2006-03-06 00:00:00.000,71
2002-06-24 00:00:00.000,70
2008-04-21 00:00:00.000,69
2006-06-12 00:00:00.000,66
2001-12-24 00:00:00.000,65
2002-08-19 00:00:00.000,64
2002-07-15 00:00:00.000,61
2001-11-26 00:00:00.000,59
2001-01-22 00:00:00.000,57
2001-07-16 00:00:00.000,57
2006-06-19 00:00:00.000,56
2005-05-30 00:00:00.000,56
2001-07-23 00:00:00.000,55
2003-02-10 00:00:00.000,54
2001-12-03 00:00:00.000,54
2002-07-22 00:00:00.000,54
2002-07-08 00:00:00.000,52
2006-06-26 00:00:00.000,50
2009-03-02 00:00:00.000,49
2008-05-12 00:00:00.000,49
2008-05-26 00:00:00.000,47
2003-01-27 00:00:00.000,47
2011-05-09 00:00:00.000,46
2011-04-11 00:00:00.000,45
2006-02-27 00:00:00.000,44
2002-07-29 00:00:00.000,42
2005-06-27 00:00:00.000,42
2002-07-01 00:00:00.000,42
2001-08-06 00:00:00.000,40
2011-04-18 00:00:00.000,40
2005-05-09 00:00:00.000,39
2010-06-21 00:00:00.000,39
2011-05-23 00:00:00.000,39
2010-03-29 00:00:00.000,38
2013-06-03 00:00:00.000,38
2008-03-24 00:00:00.000,38
2015-03-17 00:00:00.000,37
2006-02-20 00:00:00.000,37
2001-07-30 00:00:00.000,37
2003-03-03 00:00:00.000,37
2011-05-02 00:00:00.000,36
2001-11-12 00:00:00.000,36
2015-03-30 00:00:00.000,36
2005-06-20 00:00:00.000,36
2008-03-17 00:00:00.000,36
2013-05-20 00:00:00.000,36
2007-06-04 00:00:00.000,35
2005-01-10 00:00:00.000,35
2003-06-02 00:00:00.000,35
2001-11-19 00:00:00.000,35
2009-02-09 00:00:00.000,34
2015-03-23 00:00:00.000,34
2007-05-07 00:00:00.000,34
2008-04-07 00:00:00.000,34
2006-07-03 00:00:00.000,34
2005-06-06 00:00:00.000,33
2009-01-26 00:00:00.000,32
2008-05-19 00:00:00.000,32
2015-03-31 00:00:00.000,32
2005-04-18 00:00:00.000,32
2015-03-24 00:00:00.000,32
2005-03-07 00:00:00.000,32
2011-05-16 00:00:00.000,32
2010-04-12 00:00:00.000,32
2015-04-14 00:00:00.000,31
2015-03-16 00:00:00.000,31
2001-01-15 00:00:00.000,31
2005-03-14 00:00:00.000,31
2015-03-02 00:00:00.000,31
2005-05-23 00:00:00.000,30
2009-02-16 00:00:00.000,30
2006-02-13 00:00:00.000,30
2011-03-14 00:00:00.000,30
2007-04-09 00:00:00.000,29
2003-02-24 00:00:00.000,29
2009-02-23 00:00:00.000,29
2015-01-21 00:00:00.000,29
2001-10-15 00:00:00.000,29
2015-02-23 00:00:00.000,29
2015-04-08 00:00:00.000,28
2013-06-19 00:00:00.000,28
2008-06-02 00:00:00.000,28
2007-03-12 00:00:00.000,28
2009-05-04 00:00:00.000,28
2010-06-07 00:00:00.000,28
2013-07-22 00:00:00.000,28
