ReportingDistrict,count
12000053,3026
12000091,2971
12000051,2722
12000110,2717
12000034,1497
12000094,1445
12000059,1152
12000083,1116
12000092,889
12000097,828
12000064,816
12000081,726
12000010,600
12000020,537
12000033,481
12000096,455
12000082,443
12000071,369
12000160,360
12000073,359
12000095,337
12000084,334
12000120,326
12000055,317
12000031,272
12000146,270
12000150,249
12000032,247
12000057,226
12000065,205
12000147,173
12000072,150
12000145,137
12000066,106
12000093,92
12000100,86
12000040,79
12000130,49
-1,3
