,10-00075_D8_86,10-00073_D8_86,10-00091_D8_86,10-00058_D8_86,10-00033_D8_86,10-00029_D8_86,10-00026_D8_86,10-00022_D8_86,10-00023_D8_86,10-00018_D8_86,10-00017_D8_86,10-00006_D8_86,08-00034_D8_86,07-00412_D8_86,07-00399_D8_86,07-00397_D8_86,07-00390_D8_86,07-00382_D8_86,07-00377_D8_86,07-00376_D8_86,07-00369_D8_86,07-00365_D8_86,07-00362_D8_86,07-00358_D8_86,07-00363_D8_86,07-00360_D8_86,07-00356_D8_86,07-00349_D8_86,07-00352_D8_86,07-00338_D8_86,07-00340_D8_86,07-00344_D8_86,07-00341_D8_86,07-00332_D8_86,07-00333_D8_86,07-00329_D8_86,07-00335_D8_86,07-00324_D8_86,07-00327_D8_86,07-00326_D8_86,07-00320_D8_86
10-00075_D8_86,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00073_D8_86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00091_D8_86,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00058_D8_86,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00033_D8_86,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00029_D8_86,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00026_D8_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00022_D8_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00023_D8_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00018_D8_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00017_D8_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-00006_D8_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-00034_D8_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-00412_D8_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
