,10-00294_B3_21,10-00295_B3_21,10-00266_B3_21,10-00259_B3_21
10-00294_B3_21,0.0,,,
10-00295_B3_21,0.0,0.0,,
10-00266_B3_21,0.0,0.0,0.0,
10-00259_B3_21,0.0,0.0,0.0,0.0
