,17-00200_D8_53,17-00335_D8_53,17-00158_D8_53,17-00157_D8_53,17-00094_D8_53,17-00103_D8_53,17-00115_D8_53,17-00092_D8_53,17-00097_D8_53,17-00083_D8_53,17-00053_D8_53,17-00027_D8_53,17-00012_D8_53,17-00010_D8_53,16-00859_D8_53,16-00789_D8_53,16-00759_D8_53,16-00132_D8_53,24-00591_D8_53,23-00302_D8_53,23-00273_D8_53,23-00249_D8_53,24-00908_D8_53,24-01101_D8_53,15-01247_D8_53,15-01207_D8_53,15-01084_D8_53,15-01051_D8_53,14-00698_D8_53,17-00314_D8_53,17-00180_D8_53,16-00850_D8_53
17-00200_D8_53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-00335_D8_53,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-00158_D8_53,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-00157_D8_53,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-00094_D8_53,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-00103_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17-00115_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
17-00092_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
17-00097_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
17-00083_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
17-00053_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
17-00027_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
17-00012_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
17-00010_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
16-00859_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
16-00789_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
16-00759_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
16-00132_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
24-00591_D8_53,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.0,,,,,,,,,,,,,
23-00302_D8_53,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.0,0.0,,,,,,,,,,,,
23-00273_D8_53,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.0,0.0,0.0,,,,,,,,,,,
23-00249_D8_53,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.0,0.0,0.0,0.0,,,,,,,,,,
24-00908_D8_53,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.0,,,,,,,,,
24-01101_D8_53,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.006578947368421018,0.0,,,,,,,,
15-01247_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.019736842105263164,0.01754385964912286,0.0,,,,,,,
15-01207_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.019736842105263164,0.01754385964912286,0.0,0.0,,,,,,
15-01084_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.019736842105263164,0.01754385964912286,0.0,0.0,0.0,,,,,
15-01051_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.019736842105263164,0.01754385964912286,0.0,0.0,0.0,0.0,,,,
14-00698_D8_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.019736842105263164,0.01754385964912286,0.0,0.0,0.0,0.0,0.0,,,
17-00314_D8_53,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.021929824561403466,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,,
17-00180_D8_53,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.021929824561403466,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.0,
16-00850_D8_53,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.021929824561403466,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.004385964912280715,0.0
