,12-00289_D8_92,13-00089_D8_92,11-00777_D8_92,11-00754_D8_92,11-00755_D8_92,11-00727_D8_92,11-00716_D8_92,11-00714_D8_92,11-00710_D8_92,11-00690_D8_92,11-00661_D8_92,11-00660_D8_92,11-00377_D8_92,11-00145_D8_92,15-01022_D8_92,15-01014_D8_92
12-00289_D8_92,0.0,,,,,,,,,,,,,,,
13-00089_D8_92,0.0,0.0,,,,,,,,,,,,,,
11-00777_D8_92,0.0,0.0,0.0,,,,,,,,,,,,,
11-00754_D8_92,0.0,0.0,0.0,0.0,,,,,,,,,,,,
11-00755_D8_92,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
11-00727_D8_92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
11-00716_D8_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
11-00714_D8_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
11-00710_D8_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
11-00690_D8_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
11-00661_D8_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
11-00660_D8_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
11-00377_D8_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
11-00145_D8_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15-01022_D8_92,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,
15-01014_D8_92,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,0.0
