,13-00104_D8_112,13-00102_D8_112,13-00103_D8_112,13-00101_D8_112
13-00104_D8_112,0.0,,,
13-00102_D8_112,0.0,0.0,,
13-00103_D8_112,0.0,0.0,0.0,
13-00101_D8_112,0.0,0.0,0.0,0.0
