,18-00798_D8_74,18-00781_D8_74,18-00788_D8_74,18-00784_D8_74,18-00779_D8_74,18-00771_D8_74,18-00770_D8_74,18-00755_D8_74,18-00757_D8_74,18-00348_D8_74,18-00231_D8_74,19-01296_D8_74,19-01292_D8_74,19-01295_D8_74,19-01293_D8_74,18-00865_D8_74,18-00803_D8_74,19-00023_D8_74,19-00022_D8_74,18-00047_D8_74,18-00013_D8_74
18-00798_D8_74,0.0,,,,,,,,,,,,,,,,,,,,
18-00781_D8_74,0.0,0.0,,,,,,,,,,,,,,,,,,,
18-00788_D8_74,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
18-00784_D8_74,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
18-00779_D8_74,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
18-00771_D8_74,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
18-00770_D8_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
18-00755_D8_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
18-00757_D8_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
18-00348_D8_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
18-00231_D8_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
19-01296_D8_74,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.0,,,,,,,,,
19-01292_D8_74,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.0,0.0,,,,,,,,
19-01295_D8_74,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.0,0.0,0.0,,,,,,,
19-01293_D8_74,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.0,0.0,0.0,0.0,,,,,,
18-00865_D8_74,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,,,,,
18-00803_D8_74,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,0.0,,,,
19-00023_D8_74,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,0.0,0.0,,,
19-00022_D8_74,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,0.0,0.0,0.0,,
18-00047_D8_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,
18-00013_D8_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,0.0
