,18-00069_D8_52,18-00068_D8_52,17-01148_D8_52,16-00564_D8_52,16-00560_D8_52,16-00524_D8_52,16-00510_D8_52,16-00500_D8_52,16-00467_D8_52,16-00393_D8_52,16-00561_D8_52
18-00069_D8_52,0.0,,,,,,,,,,
18-00068_D8_52,0.0,0.0,,,,,,,,,
17-01148_D8_52,0.0,0.0,0.0,,,,,,,,
16-00564_D8_52,0.0,0.0,0.0,0.0,,,,,,,
16-00560_D8_52,0.0,0.0,0.0,0.0,0.0,,,,,,
16-00524_D8_52,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
16-00510_D8_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
16-00500_D8_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
16-00467_D8_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
16-00393_D8_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16-00561_D8_52,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0
