,15-00967_D8_78,15-00976_D8_78,15-00965_D8_78,15-00966_D8_78,15-01189_D8_78,15-01013_D8_78,15-00981_D8_78,15-00921_D8_78,15-00808_D8_78,15-00773_D8_78,15-00685_D8_78,15-01109_D8_78,15-01097_D8_78
15-00967_D8_78,0.0,,,,,,,,,,,,
15-00976_D8_78,0.0,0.0,,,,,,,,,,,
15-00965_D8_78,0.0,0.0,0.0,,,,,,,,,,
15-00966_D8_78,0.0,0.0,0.0,0.0,,,,,,,,,
15-01189_D8_78,0.0,0.0,0.0,0.0,0.0,,,,,,,,
15-01013_D8_78,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
15-00981_D8_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15-00921_D8_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
15-00808_D8_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
15-00773_D8_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
15-00685_D8_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15-01109_D8_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15-01097_D8_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
