,20-00221_D8_55,20-00290_D8_55,20-00224_D8_55,20-00209_D8_55,20-00225_D8_55,20-00206_D8_55,20-00207_D8_55,20-00200_D8_55,20-00223_D8_55,20-00193_D8_55,20-00194_D8_55,20-00167_D8_55,20-00150_D8_55,20-00148_D8_55,20-00149_D8_55,20-00119_D8_55,20-00120_D8_55,20-00128_D8_55,20-00097_D8_55,20-00098_D8_55,20-00088_D8_55,20-00085_D8_55,20-00077_D8_55,20-00087_D8_55,20-00086_D8_55,20-00050_D8_55,20-00029_D8_55,19-01229_D8_55,19-01181_D8_55,19-01095_D8_55,19-01090_D8_55,19-01096_D8_55,19-01093_D8_55,19-01094_D8_55,19-01092_D8_55,19-01056_D8_55,19-01035_D8_55,19-01014_D8_55,19-01015_D8_55,19-01034_D8_55,19-01011_D8_55,19-00980_D8_55,19-00969_D8_55,19-00965_D8_55,19-00966_D8_55,19-00936_D8_55,19-00888_D8_55,19-00860_D8_55,19-00861_D8_55,19-00839_D8_55,19-00810_D8_55,19-00817_D8_55,19-00813_D8_55,19-00796_D8_55,19-00766_D8_55,19-00726_D8_55,19-00705_D8_55,19-00706_D8_55,19-00679_D8_55,19-00643_D8_55,19-00630_D8_55,19-00609_D8_55,19-00604_D8_55,19-00657_D8_55,19-00654_D8_55,19-00656_D8_55,19-00573_D8_55,19-00580_D8_55,19-00651_D8_55,19-00650_D8_55,19-00649_D8_55,19-00513_D8_55,19-00648_D8_55,19-00647_D8_55,19-00517_D8_55,19-00492_D8_55,19-00566_D8_55,19-00460_D8_55,19-00506_D8_55,19-00461_D8_55,19-00404_D8_55,19-00390_D8_55,19-00401_D8_55,19-00382_D8_55,19-00393_D8_55,19-00504_D8_55,19-00383_D8_55,19-00374_D8_55,19-00380_D8_55,19-00411_D8_55,19-00366_D8_55,19-00369_D8_55,19-00361_D8_55,19-00367_D8_55,19-00353_D8_55,19-00348_D8_55,19-00373_D8_55,19-00352_D8_55,19-00793_D8_55,19-00337_D8_55,19-00365_D8_55,19-00503_D8_55,19-00499_D8_55,19-00500_D8_55,19-00316_D8_55,19-00498_D8_55,19-00497_D8_55,19-00286_D8_55,19-00282_D8_55,19-00310_D8_55,19-00308_D8_55,19-00309_D8_55,19-00288_D8_55,19-00264_D8_55,19-00281_D8_55,19-00253_D8_55,19-00307_D8_55,19-00255_D8_55,19-00254_D8_55,19-00245_D8_55,19-00241_D8_55,19-00223_D8_55,19-00219_D8_55,19-00305_D8_55,19-00302_D8_55,19-00304_D8_55,19-00303_D8_55,19-00297_D8_55,19-00226_D8_55,19-00298_D8_55,19-00228_D8_55,19-00204_D8_55,19-00243_D8_55,19-00203_D8_55,19-00196_D8_55,19-00315_D8_55,19-00171_D8_55,19-00168_D8_55,19-00173_D8_55,19-00212_D8_55,19-00160_D8_55,19-00172_D8_55,19-00151_D8_55,19-00195_D8_55,19-00134_D8_55,19-00144_D8_55,19-00147_D8_55,19-00148_D8_55,19-00149_D8_55,19-00110_D8_55,19-00116_D8_55,19-00103_D8_55,19-00092_D8_55,19-00090_D8_55,19-00083_D8_55,19-00091_D8_55,19-00068_D8_55,19-00060_D8_55,19-00062_D8_55,19-00054_D8_55,19-00051_D8_55,19-00064_D8_55,19-00050_D8_55,19-00052_D8_55,19-00055_D8_55,19-00053_D8_55,19-00045_D8_55,19-00109_D8_55,19-00097_D8_55,19-00046_D8_55,19-00108_D8_55,19-00037_D8_55,19-00025_D8_55,19-00010_D8_55,19-00012_D8_55,18-00993_D8_55,18-00994_D8_55,18-00986_D8_55,18-00957_D8_55,18-00943_D8_55,18-00914_D8_55,18-00862_D8_55,18-00762_D8_55,18-00768_D8_55,18-00731_D8_55,18-00717_D8_55,18-00678_D8_55,18-00666_D8_55,18-00668_D8_55,18-00642_D8_55,18-00638_D8_55,18-00637_D8_55,18-00617_D8_55,18-00625_D8_55,18-00611_D8_55,18-00604_D8_55,18-00612_D8_55,18-00592_D8_55,18-00587_D8_55,18-00580_D8_55,18-00581_D8_55,18-00572_D8_55,18-00573_D8_55,18-00564_D8_55,18-00585_D8_55,18-00583_D8_55,18-00584_D8_55,18-00549_D8_55,18-00528_D8_55,18-00513_D8_55,18-00485_D8_55,18-00484_D8_55,18-00499_D8_55,18-00500_D8_55,18-00493_D8_55,18-00490_D8_55,18-00495_D8_55,18-00460_D8_55,18-00413_D8_55,18-00416_D8_55,18-00397_D8_55,18-00384_D8_55,18-00369_D8_55,18-00376_D8_55,18-00952_D8_55,18-00953_D8_55,18-00330_D8_55,18-00347_D8_55,18-00313_D8_55,18-00278_D8_55,18-00269_D8_55,18-00268_D8_55,18-00263_D8_55,18-00260_D8_55,18-00950_D8_55,18-00252_D8_55,18-00233_D8_55,18-00949_D8_55,18-00220_D8_55,18-00218_D8_55,18-00219_D8_55,18-00222_D8_55,18-00352_D8_55,18-00213_D8_55,18-00211_D8_55,18-00214_D8_55,18-00212_D8_55,18-00177_D8_55,17-00477_D8_55,17-00468_D8_55,19-00225_D8_55,19-00169_D8_55,19-00272_D8_55,19-00349_D8_55,19-00193_D8_55,17-00321_D8_55,17-00163_D8_55,19-01183_D8_55,19-00295_D8_55,19-00211_D8_55,19-00057_D8_55,19-00042_D8_55,18-00901_D8_55,19-01024_D8_55,20-00187_D8_55,19-00586_D8_55,19-00509_D8_55,19-00721_D8_55,19-00688_D8_55,19-00658_D8_55,19-00471_D8_55,19-00613_D8_55
20-00221_D8_55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00290_D8_55,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00224_D8_55,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00209_D8_55,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00225_D8_55,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00206_D8_55,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00207_D8_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00200_D8_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00223_D8_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00193_D8_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
