,11-00635_D8_93,11-00492_D8_93,11-00376_D8_93,13-00152_D8_93,13-00114_D8_93,13-00087_D8_93
11-00635_D8_93,0.0,,,,,
11-00492_D8_93,0.0,0.0,,,,
11-00376_D8_93,0.0,0.0,0.0,,,
13-00152_D8_93,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,,
13-00114_D8_93,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.0,
13-00087_D8_93,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.004385964912280715,0.0
