,22-00554_D8_90,23-00541_D8_90,24-00455_D8_90,24-00217_D8_90,24-00102_D8_90
22-00554_D8_90,0.0,,,,
23-00541_D8_90,0.0,0.0,,,
24-00455_D8_90,0.002192982456140302,0.002192982456140302,0.0,,
24-00217_D8_90,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.0,
24-00102_D8_90,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.0,0.0
