,24-01002_B3_41,24-00243_B3_41,19-01319_B3_41
24-01002_B3_41,0.0,,
24-00243_B3_41,0.004385964912280715,0.0,
19-01319_B3_41,0.021929824561403466,0.021929824561403466,0.0
