,15-00756_D8_97,15-00804_D8_97,15-00662_D8_97,15-00601_D8_97,15-00596_D8_97,15-00457_D8_97,15-00454_D8_97,15-00593_D8_97
15-00756_D8_97,0.0,,,,,,,
15-00804_D8_97,0.0,0.0,,,,,,
15-00662_D8_97,0.0,0.0,0.0,,,,,
15-00601_D8_97,0.0,0.0,0.0,0.0,,,,
15-00596_D8_97,0.0,0.0,0.0,0.0,0.0,,,
15-00457_D8_97,0.0,0.0,0.0,0.0,0.0,0.0,,
15-00454_D8_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15-00593_D8_97,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0
