,13-00670_D8_18,14-00356_D8_18,13-00665_D8_18,13-00649_D8_18,13-00646_D8_18,13-00650_D8_18,13-00614_D8_18,13-00205_D8_18,13-00261_D8_18,13-00191_D8_18,13-00838_D8_18,07-00746_D8_18
13-00670_D8_18,0.0,,,,,,,,,,,
14-00356_D8_18,0.0,0.0,,,,,,,,,,
13-00665_D8_18,0.0,0.0,0.0,,,,,,,,,
13-00649_D8_18,0.0,0.0,0.0,0.0,,,,,,,,
13-00646_D8_18,0.0,0.0,0.0,0.0,0.0,,,,,,,
13-00650_D8_18,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
13-00614_D8_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
13-00205_D8_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
13-00261_D8_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
13-00191_D8_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13-00838_D8_18,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,
07-00746_D8_18,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.006578947368421018,0.0
