,10-00207_D8_57,10-00187_D8_57,10-00182_D8_57,10-00126_D8_57,10-00112_D8_57,10-00089_D8_57,10-00086_D8_57
10-00207_D8_57,0.0,,,,,,
10-00187_D8_57,0.0,0.0,,,,,
10-00182_D8_57,0.0,0.0,0.0,,,,
10-00126_D8_57,0.0,0.0,0.0,0.0,,,
10-00112_D8_57,0.0,0.0,0.0,0.0,0.0,,
10-00089_D8_57,0.0,0.0,0.0,0.0,0.0,0.0,
10-00086_D8_57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
