,18-00805_D8_38,18-00804_D8_38,18-00689_D8_38,18-00682_D8_38,18-00660_D8_38,18-00609_D8_38,18-00619_D8_38,18-00566_D8_38,18-00562_D8_38,18-00548_D8_38,18-00510_D8_38,18-00476_D8_38,18-00529_D8_38,18-00450_D8_38,18-00449_D8_38,18-00432_D8_38,18-00431_D8_38,18-00434_D8_38,18-00408_D8_38,18-00390_D8_38,18-00388_D8_38,18-00377_D8_38,18-00332_D8_38,18-00284_D8_38,18-00186_D8_38
18-00805_D8_38,0.0,,,,,,,,,,,,,,,,,,,,,,,,
18-00804_D8_38,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
18-00689_D8_38,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
18-00682_D8_38,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
18-00660_D8_38,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
18-00609_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
18-00619_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
18-00566_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
18-00562_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
18-00548_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
18-00510_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
18-00476_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
18-00529_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
18-00450_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
18-00449_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
18-00432_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
18-00431_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
18-00434_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
18-00408_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
18-00390_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
18-00388_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18-00377_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
18-00332_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
18-00284_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18-00186_D8_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
