,15-01284_B3_27,15-01283_B3_27,15-01297_B3_27,15-01303_B3_27,15-01282_B3_27,15-01275_B3_27,15-01266_B3_27,15-01265_B3_27,15-01255_B3_27,15-01251_B3_27,15-01217_B3_27,15-01209_B3_27,13-00848_B3_27,13-00876_B3_27,13-00819_B3_27,15-01381_B3_27,16-00213_B3_27,15-01321_B3_27,15-01422_B3_27,18-00288_B3_27,18-00344_B3_27,19-01010_B3_27,18-00379_B3_27,18-00156_B3_27,18-00259_B3_27,15-01430_B3_27,15-01429_B3_27
15-01284_B3_27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15-01283_B3_27,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
15-01297_B3_27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
15-01303_B3_27,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
15-01282_B3_27,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
15-01275_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
15-01266_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
15-01265_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
15-01255_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
15-01251_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
15-01217_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
15-01209_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
13-00848_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
13-00876_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
13-00819_B3_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
15-01381_B3_27,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.0,,,,,,,,,,,
