,07-00295_D8_58,07-00297_D8_58,07-00292_D8_58,07-00300_D8_58,07-00303_D8_58,07-00299_D8_58,07-00291_D8_58,07-00290_D8_58,07-00266_D8_58,07-00265_D8_58,07-00267_D8_58,07-00264_D8_58,07-00268_D8_58,07-00260_D8_58,07-00249_D8_58,07-00238_D8_58,07-00246_D8_58,07-00235_D8_58,07-00245_D8_58,07-00188_D8_58
07-00295_D8_58,0.0,,,,,,,,,,,,,,,,,,,
07-00297_D8_58,0.0,0.0,,,,,,,,,,,,,,,,,,
07-00292_D8_58,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
07-00300_D8_58,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
07-00303_D8_58,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
07-00299_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
07-00291_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
07-00290_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
07-00266_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
07-00265_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
07-00267_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
07-00264_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
07-00268_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
07-00260_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
07-00249_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
07-00238_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
07-00246_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
07-00235_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
07-00245_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
07-00188_D8_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
