,16-00572_B3_40,15-01423_B3_40,23-00231_B3_40,17-00366_B3_40,17-00221_B3_40
16-00572_B3_40,0.0,,,,
15-01423_B3_40,0.0,0.0,,,
23-00231_B3_40,0.015350877192982448,0.015350877192982448,0.0,,
17-00366_B3_40,0.002192982456140302,0.002192982456140302,0.01754385964912286,0.0,
17-00221_B3_40,0.002192982456140302,0.002192982456140302,0.01754385964912286,0.0,0.0
