,14-00277_B3_26,14-00275_B3_26,14-00241_B3_26,14-00210_B3_26,14-00163_B3_26,14-00047_B3_26,14-00099_B3_26,14-00043_B3_26
14-00277_B3_26,0.0,,,,,,,
14-00275_B3_26,0.0,0.0,,,,,,
14-00241_B3_26,0.0,0.0,0.0,,,,,
14-00210_B3_26,0.0,0.0,0.0,0.0,,,,
14-00163_B3_26,0.0,0.0,0.0,0.0,0.0,,,
14-00047_B3_26,0.0,0.0,0.0,0.0,0.0,0.0,,
14-00099_B3_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14-00043_B3_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
