,12-00245_B3_-1,06-00057_B3_10,06-00058_B3_10,07-00450_B3_10,06-00054_B3_10,06-00050_B3_10,06-00036_B3_10,06-00048_B3_10,06-00025_B3_10,12-00241_B3_-1,23-00796_B3_-1,14-00573_B3_14,14-00572_B3_14,14-00616_B3_14,14-00584_B3_14,14-00562_B3_14,14-00561_B3_14,14-00575_B3_14,14-00543_B3_14,20-00034_B3_15,20-00033_B3_15,20-00121_B3_15,20-00079_B3_15,20-00032_B3_15,19-00986_B3_15,19-00967_B3_15,19-00846_B3_15,19-00834_B3_15,19-00833_B3_15,19-00819_B3_15,19-00306_B3_15,19-00150_B3_15,19-00312_B3_15,19-00106_B3_15,18-00899_B3_15,18-00395_B3_15,18-00378_B3_15,18-00372_B3_15,18-00373_B3_15,18-00312_B3_15,18-00287_B3_15,18-00183_B3_15,18-00168_B3_15,18-00124_B3_15,18-00117_B3_15,18-00118_B3_15,18-00119_B3_15,18-00097_B3_15,18-00093_B3_15,18-00090_B3_15,18-00063_B3_15,18-00038_B3_15,18-00030_B3_15,18-00031_B3_15,18-00015_B3_15,18-00003_B3_15,18-00001_B3_15,17-01302_B3_15,18-00004_B3_15,17-01277_B3_15,17-01273_B3_15,17-01272_B3_15,17-01079_B3_15,17-01041_B3_15,17-01038_B3_15,17-01032_B3_15,17-01031_B3_15,17-01024_B3_15,17-01021_B3_15,17-00992_B3_15,17-00986_B3_15,17-00987_B3_15,17-00988_B3_15,17-01000_B3_15,17-00981_B3_15,17-00999_B3_15,17-00962_B3_15,17-00963_B3_15,17-00969_B3_15,17-00961_B3_15,17-00960_B3_15,17-00967_B3_15,17-00942_B3_15,17-00951_B3_15,17-00944_B3_15,17-00937_B3_15,17-00966_B3_15,17-00965_B3_15,17-00933_B3_15,17-00938_B3_15,17-00934_B3_15,17-00931_B3_15,17-00929_B3_15,17-00928_B3_15,17-00922_B3_15,17-00913_B3_15,17-00912_B3_15,17-00909_B3_15,17-00902_B3_15,17-00830_B3_15,17-00812_B3_15,17-00770_B3_15,17-00841_B3_15,17-00742_B3_15,17-00727_B3_15,17-00710_B3_15,17-00720_B3_15,17-00716_B3_15,17-00717_B3_15,17-00737_B3_15,17-00730_B3_15,17-00700_B3_15,17-00719_B3_15,17-00688_B3_15,17-00690_B3_15,17-00698_B3_15,17-00686_B3_15,17-00671_B3_15,17-00675_B3_15,17-00496_B3_15,17-00665_B3_15,17-00662_B3_15,17-00658_B3_15,17-00650_B3_15,17-00655_B3_15,17-00612_B3_15,17-00631_B3_15,17-00618_B3_15,17-00632_B3_15,17-00585_B3_15,17-00626_B3_15,17-00602_B3_15,17-00555_B3_15,17-00544_B3_15,17-00578_B3_15,17-00538_B3_15,17-00546_B3_15,17-00547_B3_15,17-00522_B3_15,17-00513_B3_15,17-00523_B3_15,17-00515_B3_15,17-00554_B3_15,17-00512_B3_15,17-00497_B3_15,17-00508_B3_15,17-00659_B3_15,17-00489_B3_15,17-00475_B3_15,17-00481_B3_15,17-00466_B3_15,17-00487_B3_15,17-00448_B3_15,17-00403_B3_15,17-00404_B3_15,17-00375_B3_15,17-00490_B3_15,17-00374_B3_15,17-00364_B3_15,17-00365_B3_15,17-00337_B3_15,17-00284_B3_15,17-00362_B3_15,17-00368_B3_15,17-00288_B3_15,17-00287_B3_15,17-00281_B3_15,17-00276_B3_15,17-00297_B3_15,17-00257_B3_15,17-00256_B3_15,17-00263_B3_15,17-00231_B3_15,17-00222_B3_15,17-00260_B3_15,17-00219_B3_15,17-00165_B3_15,17-00333_B3_15,17-00367_B3_15,17-00129_B3_15,17-00160_B3_15,17-00108_B3_15,17-00150_B3_15,17-00067_B3_15,17-00042_B3_15,16-00775_B3_15,18-00298_B3_15,18-00265_B3_15,18-00296_B3_15,18-00005_B3_15,17-01216_B3_15,17-01217_B3_15,17-00733_B3_15,17-00360_B3_15,17-00344_B3_15,19-00453_B3_15,19-00389_B3_15,19-00278_B3_15,19-00263_B3_15,19-00265_B3_15,19-00266_B3_15,19-00218_B3_15,18-00664_B3_15,19-00836_B3_15,19-00825_B3_15,19-00722_B3_15,19-00690_B3_15,19-00675_B3_15,18-00482_B3_15,18-00764_B3_15,18-00462_B3_15,18-00396_B3_15,18-00401_B3_15,18-00402_B3_15,18-00349_B3_15,18-00314_B3_15,18-00266_B3_15,18-00235_B3_15,18-00221_B3_15,18-00223_B3_15,19-00590_B3_15,19-00592_B3_15,19-01006_B3_15,19-00994_B3_15,19-00585_B3_15,18-00965_B3_15,18-00654_B3_15,17-01267_B3_15,16-00796_B3_15,16-00795_B3_15,16-00792_B3_15,16-00787_B3_15,16-00786_B3_15,16-00793_B3_15,16-00774_B3_15,16-00764_B3_15,16-00757_B3_15,16-00758_B3_15,16-00707_B3_15,16-00701_B3_15,16-00714_B3_15,16-00685_B3_15,16-00648_B3_15,17-00131_B3_15,17-00040_B3_15,17-00022_B3_15,17-00020_B3_15,16-00809_B3_15,16-00860_B3_15,16-00851_B3_15,16-00815_B3_15,16-00814_B3_15,17-00310_B3_15,17-00309_B3_15,17-00203_B3_15,17-00192_B3_15,17-00128_B3_15,17-00151_B3_15,17-00149_B3_15,17-00090_B3_15,17-00078_B3_15,17-00089_B3_15,17-00059_B3_15,17-00060_B3_15,17-00041_B3_15,17-00079_B3_15,17-00052_B3_15,17-00051_B3_15,17-00050_B3_15,17-00416_B3_15,17-00330_B3_15,17-00334_B3_15,17-00295_B3_15,18-00236_B3_15,18-00255_B3_15,18-00230_B3_15,18-00226_B3_15,18-00201_B3_15,18-00173_B3_15,18-00170_B3_15,18-00151_B3_15,18-00147_B3_15,18-00152_B3_15,18-00166_B3_15,18-00149_B3_15,18-00143_B3_15,17-00271_B3_15,17-00278_B3_15,17-00274_B3_15,17-00277_B3_15,17-00336_B3_15,18-00292_B3_15,18-00286_B3_15,17-00104_B3_15,17-00046_B3_15,19-00601_B3_15,19-00578_B3_15,19-00487_B3_15,19-00355_B3_15,11-00840_B3_-1,24-00157_B3_-1,14-00370_B3_19,14-00348_B3_19,14-00336_B3_19,14-00221_B3_19,14-00215_B3_19,14-00211_B3_19,14-00212_B3_19,14-00169_B3_19,14-00361_B3_19,14-00354_B3_19,19-00874_B3_-1,10-00134_B3_-1,12-00315_B3_-1,10-00107_B3_20,10-00093_B3_20,10-00294_B3_21,10-00295_B3_21,10-00266_B3_21,10-00259_B3_21,10-00557_B3_22,10-00598_B3_22,10-00534_B3_22,11-00006_B3_22,19-00076_B3_23,19-00163_B3_23,19-01000_B3_23,21-00545_B3_23,21-00544_B3_23,10-00088_B3_24,10-00105_B3_24,10-00084_B3_24,11-00627_B3_24,10-00328_B3_24,19-00320_B3_25,19-00653_B3_25,19-00319_B3_25,19-00318_B3_25,19-00342_B3_25,19-00317_B3_25,19-00056_B3_25,19-00041_B3_25,14-00277_B3_26,14-00275_B3_26,14-00241_B3_26,14-00210_B3_26,14-00163_B3_26,14-00047_B3_26,14-00099_B3_26,14-00043_B3_26,15-01284_B3_27,15-01283_B3_27,15-01297_B3_27,15-01303_B3_27,15-01282_B3_27,15-01275_B3_27,15-01266_B3_27,15-01265_B3_27,15-01255_B3_27,15-01251_B3_27,15-01217_B3_27,15-01209_B3_27,13-00848_B3_27,13-00876_B3_27,13-00819_B3_27,15-01381_B3_27,16-00213_B3_27,15-01321_B3_27,15-01422_B3_27,18-00288_B3_27,18-00344_B3_27,19-01010_B3_27,18-00379_B3_27,18-00156_B3_27,18-00259_B3_27,15-01430_B3_27,15-01429_B3_27,18-00159_B3_-1,16-00572_B3_40,15-01423_B3_40,23-00231_B3_40,17-00366_B3_40,17-00221_B3_40,24-01002_B3_41,24-00243_B3_41,19-01319_B3_41,10-00310_B3_-1,10-00325_B3_-1,16-00302_B3_-1,11-00297_B3_-1,11-00684_B3_-1,11-00694_B3_-1,16-00348_B3_103,16-00462_B3_103,16-00322_B3_103,16-00318_B3_103,16-00298_B3_103,16-00301_B3_103,16-00310_B3_103,16-00299_B3_103,16-00288_B3_103,16-00287_B3_103,16-00285_B3_103,16-00284_B3_103,16-00279_B3_103,16-00265_B3_103,16-00261_B3_103,16-00252_B3_103,16-00253_B3_103,16-00254_B3_103,16-00244_B3_103,16-00241_B3_103,16-00239_B3_103,16-00237_B3_103,16-00240_B3_103,16-00235_B3_103,16-00229_B3_103,16-00219_B3_103,16-00198_B3_103,16-00211_B3_103,16-00215_B3_103,16-00197_B3_103,16-00154_B3_103,16-00151_B3_103,16-00221_B3_103,16-00126_B3_103,15-01053_B3_103,15-00956_B3_103,14-00083_B3_103,14-00054_B3_103,14-00053_B3_103,14-00025_B3_103,24-01058_B3_103,24-00933_B3_103,24-00917_B3_103,24-00867_B3_103,24-00854_B3_103,24-00407_B3_103,24-00369_B3_103,24-00233_B3_103,23-00802_B3_103,23-00577_B3_103,23-00571_B3_103,23-00569_B3_103,23-00550_B3_103,23-00551_B3_103,23-00549_B3_103,23-00548_B3_103,23-00475_B3_103,23-00474_B3_103,22-00085_B3_103,22-00081_B3_103,22-00052_B3_103,21-00374_B3_103,21-00372_B3_103,21-00373_B3_103,23-00291_B3_103,22-00073_B3_103,24-00795_B3_103,23-00184_B3_103,18-00040_B3_103,11-00756_B3_103,11-00742_B3_103,11-00718_B3_103
12-00245_B3_-1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-00057_B3_10,0.004385964912280715,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-00058_B3_10,0.004385964912280715,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-00450_B3_10,0.004385964912280715,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-00054_B3_10,0.004385964912280715,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-00050_B3_10,0.004385964912280715,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-00036_B3_10,0.004385964912280715,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-00048_B3_10,0.004385964912280715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-00025_B3_10,0.004385964912280715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-00241_B3_-1,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
